Day,Precipitation,Min Temperature,Max Temperature,id
1/1/1973,4,7.6,10.7,EIE00107808
1/2/1973,5.1,7.3,11,EIE00107808
1/3/1973,0.5,0.5,7.1,EIE00107808
1/4/1973,0.1,0.5,7.8,EIE00107808
1/5/1973,M,5.2,9.2,EIE00107808
1/6/1973,0.1,4.3,6.7,EIE00107808
1/7/1973,0,2.7,6.5,EIE00107808
1/8/1973,0,5.2,6.5,EIE00107808
1/9/1973,0,5.2,6.6,EIE00107808
1/10/1973,0,4.7,6,EIE00107808
1/11/1973,0.2,4.5,7.7,EIE00107808
1/12/1973,3.8,4,8.2,EIE00107808
1/13/1973,1.1,6.5,6.7,EIE00107808
1/14/1973,1.4,3.5,7.2,EIE00107808
1/15/1973,15.7,3.3,6.5,EIE00107808
1/16/1973,3.1,0.8,5,EIE00107808
1/17/1973,0.2,-1.5,2,EIE00107808
1/18/1973,8.7,-1.5,7.5,EIE00107808
1/19/1973,4.8,1.5,8,EIE00107808
1/20/1973,5.3,4.4,5.6,EIE00107808
1/21/1973,0.2,1.3,6.8,EIE00107808
1/22/1973,5.2,1.1,11,EIE00107808
1/23/1973,0.1,1.5,12.5,EIE00107808
1/24/1973,0.5,9.5,12,EIE00107808
1/25/1973,5,8.5,10,EIE00107808
1/26/1973,1.6,5.2,9.5,EIE00107808
1/27/1973,8.3,6.7,9.2,EIE00107808
1/28/1973,1.6,6.3,9.7,EIE00107808
1/29/1973,5.6,7.8,9.8,EIE00107808
1/30/1973,10.6,3.7,9.8,EIE00107808
1/31/1973,3,3.3,9,EIE00107808
2/1/1973,0.1,5.8,9,EIE00107808
2/2/1973,0.7,7.7,9.3,EIE00107808
2/3/1973,M,7,10.3,EIE00107808
2/4/1973,2,8.2,9.3,EIE00107808
2/5/1973,2.6,3.5,9.7,EIE00107808
2/6/1973,2.6,4.7,10.8,EIE00107808
2/7/1973,3,5.5,9.1,EIE00107808
2/8/1973,15.9,3.8,5.5,EIE00107808
2/9/1973,4.2,2,6.7,EIE00107808
2/10/1973,3.4,2.4,7.9,EIE00107808
2/11/1973,10.4,4,9.7,EIE00107808
2/12/1973,6.3,1.6,3.8,EIE00107808
2/13/1973,5.7,-1.2,3.5,EIE00107808
2/14/1973,6.2,-2.5,3.5,EIE00107808
2/15/1973,0.6,-1.6,4.5,EIE00107808
2/16/1973,0.1,-2.3,4,EIE00107808
2/17/1973,0,-1.5,6.5,EIE00107808
2/18/1973,4,2.2,8.3,EIE00107808
2/19/1973,0.1,6.2,10.3,EIE00107808
2/20/1973,0.5,8,12.2,EIE00107808
2/21/1973,2.1,7.5,8.8,EIE00107808
2/22/1973,3.9,4.4,6.8,EIE00107808
2/23/1973,2.9,3,6.6,EIE00107808
2/24/1973,0.5,1.5,6.6,EIE00107808
2/25/1973,3,-0.2,2.2,EIE00107808
2/26/1973,0.1,0.7,5.2,EIE00107808
2/27/1973,2,1.5,7.7,EIE00107808
2/28/1973,6.1,2.6,9.5,EIE00107808
3/1/1973,2.2,4,8,EIE00107808
3/2/1973,3.3,2.9,10.7,EIE00107808
3/3/1973,0.9,6.1,9.2,EIE00107808
3/4/1973,0.8,5.3,9.3,EIE00107808
3/5/1973,6.7,0.4,7.1,EIE00107808
3/6/1973,1,1.7,8.7,EIE00107808
3/7/1973,0.1,2.9,10.4,EIE00107808
3/8/1973,0,2.5,10.2,EIE00107808
3/9/1973,0,3.7,12.8,EIE00107808
3/10/1973,0,0.3,9.7,EIE00107808
3/11/1973,0,0.7,10.5,EIE00107808
3/12/1973,0,0.5,10.3,EIE00107808
3/13/1973,0,1,10.5,EIE00107808
3/14/1973,0,-0.5,6.2,EIE00107808
3/15/1973,0,0.4,7,EIE00107808
3/16/1973,0,1.6,8.6,EIE00107808
3/17/1973,M,3.9,10.7,EIE00107808
3/18/1973,0,6.7,11.1,EIE00107808
3/19/1973,0,2.4,9.8,EIE00107808
3/20/1973,0,5.2,12.7,EIE00107808
3/21/1973,0,3.3,13.7,EIE00107808
3/22/1973,2,4.5,12.2,EIE00107808
3/23/1973,0.1,7,15.2,EIE00107808
3/24/1973,2.5,7.1,11.7,EIE00107808
3/25/1973,0.9,6.3,11.7,EIE00107808
3/26/1973,0,0.8,9.1,EIE00107808
3/27/1973,4.7,5,10.5,EIE00107808
3/28/1973,0.1,5,9.7,EIE00107808
3/29/1973,7.3,4.7,10.4,EIE00107808
3/30/1973,0.3,4.4,10.4,EIE00107808
3/31/1973,7.2,4.5,9.2,EIE00107808
4/1/1973,15,3.8,7.5,EIE00107808
4/2/1973,0.5,1.2,6.7,EIE00107808
4/3/1973,7.6,0.2,11.3,EIE00107808
4/4/1973,4.5,4.2,13.1,EIE00107808
4/5/1973,2.9,3.9,8.8,EIE00107808
4/6/1973,1.2,3.3,8.4,EIE00107808
4/7/1973,1.1,2.4,8.7,EIE00107808
4/8/1973,0.2,-0.4,7.2,EIE00107808
4/9/1973,1,-1,8.6,EIE00107808
4/10/1973,0.2,2.8,8.8,EIE00107808
4/11/1973,2.5,6.4,10,EIE00107808
4/12/1973,0.1,7.1,10.6,EIE00107808
4/13/1973,0,7.1,10.4,EIE00107808
4/14/1973,0,7.6,11.3,EIE00107808
4/15/1973,0,8.3,11.6,EIE00107808
4/16/1973,0,8.4,12.3,EIE00107808
4/17/1973,0,6.6,11.8,EIE00107808
4/18/1973,0,8.4,12,EIE00107808
4/19/1973,1.8,8.4,12.7,EIE00107808
4/20/1973,0.8,6.8,11.4,EIE00107808
4/21/1973,1.4,6.7,10.5,EIE00107808
4/22/1973,0.3,4.3,10.3,EIE00107808
4/23/1973,0,5.5,13.4,EIE00107808
4/24/1973,0,5.2,12.3,EIE00107808
4/25/1973,0,3.5,15.5,EIE00107808
4/26/1973,0.1,1.2,10.5,EIE00107808
4/27/1973,0.8,5.7,11.6,EIE00107808
4/28/1973,0.2,3.3,7.2,EIE00107808
4/29/1973,0.3,-3,9.5,EIE00107808
4/30/1973,1.4,2.3,8.4,EIE00107808
5/1/1973,0,2.7,10.1,EIE00107808
5/2/1973,3.6,-4,13.4,EIE00107808
5/3/1973,12.6,4.3,10,EIE00107808
5/4/1973,1.5,4,13.7,EIE00107808
5/5/1973,3.6,7.5,11.1,EIE00107808
5/6/1973,2.4,6.2,11.7,EIE00107808
5/7/1973,3,6.3,10.5,EIE00107808
5/8/1973,4.2,6.7,11,EIE00107808
5/9/1973,4.8,9.5,11.7,EIE00107808
5/10/1973,1.3,4.4,10.5,EIE00107808
5/11/1973,0,5.4,11.5,EIE00107808
5/12/1973,12,7.5,11.7,EIE00107808
