Day,Precipitation,Min Temperature,Max Temperature,id
1/1/1973,15.2,5.2,8.3,UK000003162
1/2/1973,5.2,6.5,,UK000003162
1/3/1973,0.2,-1.9,7.5,UK000003162
1/4/1973,0,-2,3.5,UK000003162
1/5/1973,0.2,-2.7,4.3,UK000003162
1/6/1973,0,-1.1,3.6,UK000003162
1/7/1973,0,-2.7,2.8,UK000003162
1/8/1973,0,-2.7,5.1,UK000003162
1/9/1973,0.1,0,5.1,UK000003162
1/10/1973,0.9,2.2,2.6,UK000003162
1/11/1973,0,0.9,1.3,UK000003162
1/12/1973,0,-0.7,1.9,UK000003162
1/13/1973,2.8,-4.4,5,UK000003162
1/14/1973,4.4,-1.8,4.8,UK000003162
1/15/1973,3.4,1.2,2.6,UK000003162
1/16/1973,0,-0.3,3.1,UK000003162
1/17/1973,0,-7.7,2.3,UK000003162
1/18/1973,0,-9.8,2.2,UK000003162
1/19/1973,3.2,-9,1,UK000003162
1/20/1973,14.1,-1.1,3.5,UK000003162
1/21/1973,19.7,-1.2,4.2,UK000003162
1/22/1973,5.8,-0.6,6.7,UK000003162
1/23/1973,3.3,0.7,7.4,UK000003162
1/24/1973,0,0.9,7.6,UK000003162
1/25/1973,13.9,5.1,7.1,UK000003162
1/26/1973,7.2,2,6.2,UK000003162
1/27/1973,0.2,3.1,9,UK000003162
1/28/1973,0.4,0,8.9,UK000003162
1/29/1973,4.8,2.9,6.3,UK000003162
1/30/1973,3,4.5,4.5,UK000003162
1/31/1973,3.7,0,7.7,UK000003162
2/1/1973,0.1,1.6,12.2,UK000003162
2/2/1973,0.1,2.2,6.9,UK000003162
2/3/1973,3.1,5.1,7.2,UK000003162
2/4/1973,2.2,5.5,9.4,UK000003162
2/5/1973,2.3,1.8,8.9,UK000003162
2/6/1973,2.8,3,7,UK000003162
2/7/1973,1.1,3.6,4.8,UK000003162
2/8/1973,4,3.2,4.5,UK000003162
2/9/1973,1,0.2,4.9,UK000003162
2/10/1973,0,0.1,6.9,UK000003162
2/11/1973,7.8,-0.3,2.7,UK000003162
2/12/1973,19.8,,,UK000003162
2/13/1973,6.6,-2.7,0.5,UK000003162
2/14/1973,0,-8.1,2.4,UK000003162
2/15/1973,1.4,-16.1,2.5,UK000003162
2/16/1973,0,-5.4,4.4,UK000003162
2/17/1973,0,-12.2,6.3,UK000003162
2/18/1973,0.7,-10.5,8,UK000003162
2/19/1973,1.4,-0.6,12.4,UK000003162
2/20/1973,0.3,3.4,8.3,UK000003162
2/21/1973,3.6,4.6,5.7,UK000003162
2/22/1973,6.5,1,,UK000003162
2/23/1973,0.9,-1.2,4,UK000003162
2/24/1973,0,-3.4,4,UK000003162
2/25/1973,0,-4.7,5.8,UK000003162
2/26/1973,0,-6,5.3,UK000003162
2/27/1973,2.9,-8.6,7.7,UK000003162
2/28/1973,5.8,-5.8,7.4,UK000003162
3/1/1973,9.5,-1.1,7.7,UK000003162
3/2/1973,8,-0.8,9.5,UK000003162
3/3/1973,0.2,1,8.7,UK000003162
3/4/1973,1.8,2.2,7.1,UK000003162
3/5/1973,4.8,-2.7,6,UK000003162
3/6/1973,0,-1.2,7.2,UK000003162
3/7/1973,0.2,0,8,UK000003162
3/8/1973,0,1,9.8,UK000003162
3/9/1973,0,-1.8,12,UK000003162
3/10/1973,0,-4.5,14.7,UK000003162
3/11/1973,0,-5.2,7.4,UK000003162
3/12/1973,0,-1.1,10,UK000003162
3/13/1973,0,2.1,6.1,UK000003162
3/14/1973,0,-1,9,UK000003162
3/15/1973,0,-5,8.5,UK000003162
3/16/1973,0,-5.3,11.8,UK000003162
3/17/1973,0,0,12.7,UK000003162
3/18/1973,0,6.2,8.8,UK000003162
3/19/1973,0,2.3,8.3,UK000003162
3/20/1973,0,1.4,10.8,UK000003162
3/21/1973,0,-3,8.3,UK000003162
3/22/1973,0,0.3,12.6,UK000003162
3/23/1973,0.2,4.8,8.9,UK000003162
3/24/1973,4.7,0.3,10.6,UK000003162
3/25/1973,1,4.7,9,UK000003162
3/26/1973,0,1,11,UK000003162
3/27/1973,5.2,-6.6,9.9,UK000003162
3/28/1973,0,2.2,9.2,UK000003162
3/29/1973,18.2,0.6,8,UK000003162
3/30/1973,0.8,3.7,7.8,UK000003162
3/31/1973,7.9,0.3,7.8,UK000003162
4/1/1973,9,0.7,5.2,UK000003162
4/2/1973,0.1,-0.4,8.9,UK000003162
4/3/1973,31.9,-7,10.2,UK000003162
4/4/1973,9.7,0.4,6.8,UK000003162
4/5/1973,10.1,1.9,6.4,UK000003162
4/6/1973,1.9,0.1,8.2,UK000003162
4/7/1973,1.4,0.9,4.8,UK000003162
4/8/1973,2.9,-2,5.9,UK000003162
4/9/1973,0,-4.8,7,UK000003162
4/10/1973,0.4,-5.8,7.1,UK000003162
4/11/1973,0,1.8,7.5,UK000003162
4/12/1973,0,0.7,11.2,UK000003162
4/13/1973,0,0.5,14,UK000003162
4/14/1973,0,4.8,16.9,UK000003162
4/15/1973,0,0.1,14.6,UK000003162
4/16/1973,0,3.3,12.6,UK000003162
4/17/1973,0,-2.2,13.3,UK000003162
4/18/1973,0.5,5,9.4,UK000003162
4/19/1973,0,0.9,8.9,UK000003162
4/20/1973,0,2.1,7.2,UK000003162
4/21/1973,5.7,0.2,9,UK000003162
4/22/1973,0.8,0.8,9.8,UK000003162
4/23/1973,3.6,3.3,8.2,UK000003162
4/24/1973,0,2.5,14.2,UK000003162
4/25/1973,0,0.9,12.2,UK000003162
4/26/1973,0,-1.9,11.1,UK000003162
4/27/1973,1.1,3.3,6,UK000003162
4/28/1973,0,-0.6,9.7,UK000003162
4/29/1973,1.6,-9.9,7.9,UK000003162
4/30/1973,9.1,-4.6,10.5,UK000003162
5/1/1973,0.2,0.8,13.7,UK000003162
5/2/1973,0.1,-3.2,11.1,UK000003162
5/3/1973,10.5,3.5,9.4,UK000003162
5/4/1973,24.2,5.3,10.5,UK000003162
5/5/1973,3.8,5.6,11.4,UK000003162
5/6/1973,6.4,3.9,10.8,UK000003162
5/7/1973,2.7,0.6,9.8,UK000003162
5/8/1973,4,3.3,10.2,UK000003162
5/9/1973,13.4,6.3,8.5,UK000003162
5/10/1973,3.1,1,9.4,UK000003162
5/11/1973,1.1,0.9,9.4,UK000003162
5/12/1973,10.1,5.4,12.1,UK000003162
5/13/1973,0,6,11.4,UK000003162
5/14/1973,0.1,-3.9,12.6,UK000003162
5/15/1973,0,-3.7,14.6,UK000003162
5/16/1973,0,-0.4,14.6,UK000003162
5/17/1973,0,0.8,13.9,UK000003162
5/18/1973,0,4.8,15.3,UK000003162
5/19/1973,1.7,5.7,7.9,UK000003162
5/20/1973,4.6,5.3,9.5,UK000003162
5/21/1973,15.6,5.6,14.7,UK000003162
5/22/1973,0.2,6.5,14,UK000003162
5/23/1973,0,7.8,18.2,UK000003162
5/24/1973,1.1,4.9,17,UK000003162
5/25/1973,1.3,8.1,19.8,UK000003162
5/26/1973,0.9,9.3,22.7,UK000003162
5/27/1973,0,9.6,18.2,UK000003162
5/28/1973,0,10.6,19.3,UK000003162
5/29/1973,4.5,6.8,16.1,UK000003162
5/30/1973,2,9,10.7,UK000003162
5/31/1973,0.1,7.3,13.2,UK000003162
6/1/1973,4.1,0.1,14.1,UK000003162
6/2/1973,2.2,4.5,14,UK000003162
6/3/1973,1.9,3.9,14,UK000003162
6/4/1973,0,4.1,18.4,UK000003162
6/5/1973,0,-0.9,20.7,UK000003162
6/6/1973,0,7.8,23.6,UK000003162
6/7/1973,0,8.3,21.5,UK000003162
6/8/1973,0,9.9,17.5,UK000003162
6/9/1973,0,11.8,13.3,UK000003162
6/10/1973,0,8.7,12.9,UK000003162
6/11/1973,0.2,7.5,12.9,UK000003162
6/12/1973,3.7,10.1,11.2,UK000003162
6/13/1973,0.4,5.4,15,UK000003162
6/14/1973,0.7,0.6,20.6,UK000003162
6/15/1973,0,9.2,20.3,UK000003162
6/16/1973,1.9,6.1,18.4,UK000003162
6/17/1973,2.3,11.4,16,UK000003162
6/18/1973,35.6,5.1,15.7,UK000003162
6/19/1973,0.3,12.2,13.4,UK000003162
6/20/1973,0,9.1,22,UK000003162
6/21/1973,0,9.7,24.1,UK000003162
6/22/1973,0,6.8,20.5,UK000003162
6/23/1973,1.9,12.5,16.2,UK000003162
6/24/1973,3.9,9.9,18.1,UK000003162
6/25/1973,1,9.6,18.1,UK000003162
