Day,Precipitation,Min Temperature,Max Temperature,id
1/1/1973,0,4,9,UKM00003017
1/2/1973,3,Null,Null,UKM00003017
1/3/1973,0.3,3,6,UKM00003017
1/4/1973,Null,Null,9,UKM00003017
1/5/1973,Null,6,Null,UKM00003017
1/6/1973,0.3,Null,Null,UKM00003017
1/7/1973,0,2,7,UKM00003017
1/8/1973,Null,2,Null,UKM00003017
1/9/1973,0,6,8,UKM00003017
1/10/1973,0,5,Null,UKM00003017
1/11/1973,0,Null,7,UKM00003017
1/12/1973,0,1,Null,UKM00003017
1/13/1973,0,3,Null,UKM00003017
1/14/1973,0,Null,7,UKM00003017
1/15/1973,4.1,4,7,UKM00003017
1/16/1973,3.6,4,7,UKM00003017
1/17/1973,5.1,2,5,UKM00003017
1/18/1973,0,1,Null,UKM00003017
1/19/1973,Null,Null,6,UKM00003017
1/20/1973,7.1,2,Null,UKM00003017
1/21/1973,7.1,2,6,UKM00003017
1/22/1973,1,2,5,UKM00003017
1/23/1973,4.1,3,Null,UKM00003017
1/24/1973,0.5,7,10,UKM00003017
1/25/1973,2,Null,9,UKM00003017
1/26/1973,Null,5,7,UKM00003017
1/27/1973,2,Null,5,UKM00003017
1/28/1973,2,0,9,UKM00003017
1/29/1973,1,Null,9,UKM00003017
1/30/1973,0.3,Null,Null,UKM00003017
1/31/1973,11.9,3,6,UKM00003017
2/1/1973,0.5,3,Null,UKM00003017
2/2/1973,0.5,5,Null,UKM00003017
2/3/1973,0,Null,8,UKM00003017
2/4/1973,0.8,5,9,UKM00003017
2/5/1973,3,4,6,UKM00003017
2/6/1973,9.9,4,9,UKM00003017
2/7/1973,7.9,Null,6,UKM00003017
2/8/1973,6.1,1,5,UKM00003017
2/9/1973,1.3,-1,5,UKM00003017
2/10/1973,2.3,Null,4,UKM00003017
2/11/1973,7.1,-3,8,UKM00003017
2/12/1973,14,Null,Null,UKM00003017
2/13/1973,7.1,-4,Null,UKM00003017
2/14/1973,1,-3,1,UKM00003017
2/15/1973,6.1,-3,3,UKM00003017
2/16/1973,0,-1,3,UKM00003017
2/17/1973,0.3,-1,3,UKM00003017
2/18/1973,2,2,Null,UKM00003017
2/19/1973,1.3,6,9,UKM00003017
2/20/1973,5.1,8,10,UKM00003017
2/21/1973,7.9,Null,Null,UKM00003017
2/22/1973,6.1,Null,4,UKM00003017
2/23/1973,6.1,Null,Null,UKM00003017
2/24/1973,Null,Null,Null,UKM00003017
2/25/1973,0.5,0,Null,UKM00003017
2/26/1973,0,-1,5,UKM00003017
2/27/1973,0,-2,Null,UKM00003017
2/28/1973,1.3,3,8,UKM00003017
3/1/1973,3,3,7,UKM00003017
3/2/1973,1,2,7,UKM00003017
3/3/1973,2,Null,Null,UKM00003017
3/4/1973,0.3,1,7,UKM00003017
3/5/1973,1,1,6,UKM00003017
3/6/1973,Null,Null,6,UKM00003017
3/7/1973,0.3,-1,9,UKM00003017
3/8/1973,0,3,10,UKM00003017
3/9/1973,0,1,11,UKM00003017
3/10/1973,0,2,10,UKM00003017
3/11/1973,0,0,8,UKM00003017
3/12/1973,0,0,7,UKM00003017
3/13/1973,0,0,7,UKM00003017
3/14/1973,0,2,6,UKM00003017
3/15/1973,0,2,7,UKM00003017
3/16/1973,0,6,9,UKM00003017
3/17/1973,0.8,7,10,UKM00003017
3/18/1973,0.5,7,8,UKM00003017
3/19/1973,0,5,10,UKM00003017
