Index,Maker,Year Distrilled,age in cast,ABV,Single Malt Scotch,Flavored Whiskey and Liqueurs,Bourbon, Blended Malt Scotch Whisky ,Blended Scotch Whisky,Blended Whiskey (Multi-country), Single Malt Whisky (Multi-country), Single Grain Whisky (Multi-country),Japan, Canada,Irish,Generic Whisky (Multi-country),Rye Whisky,White Whisky,Craft Whisky,SUM,Review Score (Points), price ,Original Style,country
1,Johnnie Walker,,,40.00%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,97,$225 ,Blended Scotch Whisky,UK
2,Black Bowmore,1964,42 years old,40.50%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,"$4,500 ",Single Malt Scotch,UK
3,Bowmore,,46 years old,42.90%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,"$13,500 ",Single Malt Scotch,UK
4,Compass Box,,30 years old,53.40%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,96,$325 ,Blended Malt Scotch Whisky,UK
5,Chivas,,,40.00%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,96,$160 ,Blended Malt Scotch Whisky,UK
6,Gold Bowmore,1964,39 years old,42.40%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,96,"$6,250 ",Single Malt Scotch,UK
7,Bowmore,,44 years old,44.80%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,96,"$11,000 ",Single Malt Scotch,UK
8,The Dalmore,,50 years old,52.80%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,96,"$1,500 ",Single Malt Scotch,UK
9,Glenfarclas,1954,,47.20%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,96,"$3,360 ",Single Malt Scotch,UK
10,The Glenlivet,1969,,50.80%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,96,$750 ,Single Malt Scotch,UK
11,The Macallan,1976,29 years old,45.40%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,96,"$1,500 ",Single Malt Scotch,UK
12,The Last Drop,,,44.00%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,96,"$3,108 ",Grain Scotch Whisky,UK
13,Compass Box,,,48.90%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,95,$105 ,Blended Malt Scotch Whisky,UK
14,Compass Box,,,54.70%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,95,$120 ,Blended Scotch Whisky,UK
15,Johnnie Walker,,,60.00%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,95,"$3,500 ",Blended Scotch Whisky,UK
16,Chivas,,18 years old,40.00%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,95,$70 ,Blended Scotch Whisky,UK
17,Chivas,,,43.00%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,95,"$3,500 ",Blended Scotch Whisky,UK
18,Ardbeg,1974,,49.90%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,"$20,000 ",Single Malt Scotch,UK
19,Ardbeg,,,57.10%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,$90 ,Single Malt Scotch,UK
21,Bowmore,,50 years old,40.70%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,"$26,650 ",Single Malt Scotch,UK
22,Brora,,30 years old,55.70%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,$400 ,Single Malt Scotch,UK
23,Lombard,1982,22 years old,50.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,$200 ,Single Malt Scotch,UK
24,Brora,2009,30 years old,53.20%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,$400 ,Single Malt Scotch,UK
25,Brora,2010,,54.30%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,$455 ,Single Malt Scotch,UK
26,Brora,,35 years old,49.90%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,$750 ,Single Malt Scotch,UK
27,Glenfarclas,1968,,43.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,$200 ,Single Malt Scotch,UK
28,Glenfarclas,,40 years old,46.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,$460 ,Single Malt Scotch,UK
29,Glenglassaugh,,40 years old,44.60%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,"$2,525 ",Single Malt Scotch,UK
30,The Glenlivet,1973,,49.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,"$1,250 ",Single Malt Scotch,UK
