,Year,Precipitation,Temperature,country,Max Temperature_x,Min Temperature_x,Max Temperature_y,Min Temperature_y
0,1970,52.83544166666666,6.706761666666666,USA,,,,
1,1971,54.00642500000001,6.315507499999999,USA,,,,
2,1972,55.37098333333333,6.309428333333334,USA,,,,
3,1973,60.52113333333333,6.887528333333332,USA,,,,
4,1974,53.77514166666666,6.713616666666668,USA,,,,
5,1975,57.84505833333333,6.302382499999999,USA,,,,
6,1976,47.51083333333333,6.650061666666668,USA,,,,
7,1977,54.32838333333333,7.308983333333333,USA,,,,
8,1978,53.976225,6.927931666666666,USA,,,,
9,1979,58.35510833333333,6.688906666666668,USA,,,,
10,1980,51.57109166666667,7.155950833333333,USA,,,,
11,1981,54.79709166666666,7.860701666666666,USA,,,,
12,1982,60.97601666666666,6.478369166666668,USA,,,,
13,1983,60.59684999999999,6.971061666666667,USA,,,,
14,1984,55.44433333333333,6.770079999999999,USA,,,,
15,1985,55.13660833333334,6.5784208333333325,USA,,,,
16,1986,56.68379999999999,7.541756666666665,USA,,,,
17,1987,52.63026666666667,7.718058333333335,USA,,,,
18,1988,47.87630000000001,7.334408333333332,USA,,,,
19,1989,54.37875833333334,6.852802499999999,USA,,,,
20,1990,59.23868333333334,7.451195833333334,USA,,,,
21,1991,56.847175,7.565831666666665,USA,,,,
22,1992,56.48325,7.069145833333334,USA,,,,
23,1993,58.93289999999999,7.096323333333332,USA,,,,
24,1994,55.54881666666666,7.376862499999998,USA,,,,
25,1995,56.57056666666666,7.483878333333334,USA,,,,
26,1996,58.42580833333333,6.730626666666668,USA,,,,
27,1997,55.71192500000001,7.090644166666666,USA,,,,
28,1998,59.97515833333333,8.0975725,USA,,,,
29,1999,51.95518333333333,7.286505833333332,USA,,,,
30,2000,52.32755,7.496298333333333,USA,,,,
31,2001,52.53631666666666,7.633218333333333,USA,,,,
32,2002,52.2241,7.794915,USA,,,,
33,2003,54.82019166666666,7.729782499999999,USA,,,,
34,2004,58.25925833333333,7.713543333333334,USA,,,,
35,2005,54.7526,7.931033333333333,USA,,,,
36,2006,53.84495,7.9716691666666675,USA,,,,
37,2007,51.98381666666666,7.8793799999999985,USA,,,,
38,2008,55.84654166666666,6.9901874999999976,USA,,,,
39,2009,56.32781666666666,7.167374999999999,USA,,,,
40,2010,55.43608333333333,7.591250000000001,USA,,,,
41,2011,56.06388333333334,7.548140000000001,USA,,,,
42,2012,52.15591666666668,8.173909166666666,USA,,,,
43,2013,58.49023333333333,7.329438333333332,USA,,,,
44,2014,57.03195,7.782369999999999,USA,,,,
45,2015,63.46590833333333,8.481253333333333,USA,,,,
46,2016,57.06392500000001,9.030836666666668,USA,,,,
47,1970,128.88446666666667,10.276935,Japan,,,,
48,1971,133.44110833333335,10.2422575,Japan,,,,
49,1972,161.30069999999995,10.797284166666666,Japan,,,,
50,1973,116.33051666666668,10.626771666666665,Japan,,,,
51,1974,134.93922499999996,10.074774166666666,Japan,,,,
52,1975,137.64530833333333,10.674335000000001,Japan,,,,
53,1976,141.09605833333333,10.102304166666666,Japan,,,,
54,1977,122.06045833333332,10.566574999999998,Japan,,,,
55,1978,103.96755,10.8459425,Japan,,,,
56,1979,142.47705833333333,11.16561,Japan,,,,
57,1980,160.46461666666667,10.151059166666666,Japan,,,,
58,1981,137.557475,9.982656666666667,Japan,,,,
59,1982,130.4737,10.682659166666667,Japan,,,,
60,1983,135.10329166666665,10.46942,Japan,,,,
61,1984,99.27137500000002,10.034118333333334,Japan,,,,
62,1985,137.49134166666667,10.636512499999998,Japan,,,,
63,1986,118.72134166666666,10.023324166666667,Japan,,,,
64,1987,124.15886666666668,10.8768,Japan,,,,
65,1988,132.23817499999998,10.317303333333337,Japan,,,,
66,1989,151.89284166666667,11.273419166666667,Japan,,,,
67,1990,143.54286666666667,11.935230833333335,Japan,,,,
68,1991,148.54379166666664,11.285607500000005,Japan,,,,
69,1992,125.45964166666666,10.969435833333335,Japan,,,,
70,1993,160.9766,10.511665,Japan,,,,
71,1994,99.95890833333333,11.694824166666665,Japan,,,,
72,1995,125.58745,10.993556666666667,Japan,,,,
73,1996,114.237125,10.574900833333334,Japan,,,,
74,1997,133.48071666666667,11.237715833333333,Japan,,,,
75,1998,158.4575,11.720316666666667,Japan,,,,
76,1999,143.42644166666668,11.599891666666664,Japan,,,,
77,2000,127.573625,11.375715833333333,Japan,,,,
78,2001,128.31859999999998,10.98532,Japan,,,,
79,2002,129.2736833333333,11.350846666666667,Japan,,,,
80,2003,142.47640833333338,11.013828333333333,Japan,,,,
81,2004,139.70644166666668,11.958797499999998,Japan,,,,
82,2005,115.83561666666664,11.05663,Japan,,,,
83,2006,149.71338333333333,11.263286666666666,Japan,,,,
84,2007,121.86255,11.6946325,Japan,,,,
85,2008,123.80634166666668,11.415177499999999,Japan,,,,
86,2009,136.82457499999998,11.465723333333335,Japan,,,,
87,2010,146.51639999999998,11.759870833333334,Japan,,,,
88,2011,145.12125,11.318910833333335,Japan,,,,
89,2012,142.17775833333332,11.119136666666668,Japan,,,,
90,2013,141.805125,11.491659166666665,Japan,,,,
91,2014,142.49424166666668,11.271364999999998,Japan,,,,
92,2015,146.50005,11.8047175,Japan,,,,
93,2016,151.20018333333334,11.875195,Japan,,,,
94,1970,36.764208333333336,-7.2069391666666665,Canada,,,,
95,1971,39.08906666666665,-7.005590833333333,Canada,,,,
96,1972,37.522016666666666,-8.951065833333333,Canada,,,,
97,1973,39.57708333333333,-6.346726666666666,Canada,,,,
98,1974,39.348958333333336,-7.861009166666669,Canada,,,,
99,1975,38.74661666666667,-7.139099999999999,Canada,,,,
100,1976,38.32606666666667,-6.9414741666666675,Canada,,,,
101,1977,38.79026666666667,-6.011002500000001,Canada,,,,
102,1978,37.711333333333336,-7.413300833333333,Canada,,,,
103,1979,39.170475,-7.281226666666666,Canada,,,,
104,1980,39.86658333333333,-6.491176666666665,Canada,,,,
105,1981,39.22966666666667,-4.947253333333333,Canada,,,,
106,1982,39.68255833333333,-8.0299175,Canada,,,,
107,1983,39.45945833333333,-6.949610000000001,Canada,,,,
108,1984,40.12045,-6.837429166666666,Canada,,,,
109,1985,37.921191666666665,-6.9442499999999985,Canada,,,,
110,1986,39.10026666666667,-7.046362499999997,Canada,,,,
111,1987,37.31468333333334,-5.679007500000003,Canada,,,,
112,1988,39.981325,-6.121959166666668,Canada,,,,
113,1989,37.27083333333333,-7.155417500000001,Canada,,,,
114,1990,38.96042500000001,-7.166322500000001,Canada,,,,
115,1991,39.09265,-6.548698333333333,Canada,,,,
116,1992,37.868025,-7.095869166666668,Canada,,,,
117,1993,37.79025,-6.4398316666666675,Canada,,,,
118,1994,38.532425,-6.416501666666666,Canada,,,,
119,1995,37.42585,-6.272844999999999,Canada,,,,
120,1996,40.44761666666667,-7.017297499999999,Canada,,,,
121,1997,39.790141666666656,-6.323374999999999,Canada,,,,
122,1998,38.29540833333333,-4.659417499999999,Canada,,,,
123,1999,40.54865833333333,-5.460449166666666,Canada,,,,
124,2000,38.075816666666654,-6.2110125,Canada,,,,
125,2001,38.412975,-5.4043575,Canada,,,,
126,2002,37.6574,-6.4187683333333325,Canada,,,,
127,2003,38.31948333333333,-5.9090050000000005,Canada,,,,
128,2004,37.859675,-7.077128333333333,Canada,,,,
129,2005,41.74080833333335,-5.349289166666666,Canada,,,,
130,2006,38.14445833333335,-4.633815,Canada,,,,
131,2007,39.452025,-6.174463333333333,Canada,,,,
132,2008,39.95335,-6.482341666666667,Canada,,,,
133,2009,38.483491666666666,-6.2661983333333335,Canada,,,,
134,2010,39.92811666666667,-4.186646666666667,Canada,,,,
135,2011,38.33970833333334,-5.709931666666665,Canada,,,,
136,2012,37.82644166666665,-5.3988733333333325,Canada,,,,
137,2013,37.156641666666665,-6.4649600000000005,Canada,,,,
138,2014,38.9816,-6.220375833333333,Canada,,,,
139,2015,36.49417500000001,-5.9539358333333325,Canada,,,,
140,2016,38.86465,-4.965330833333334,Canada,,,,
141,1973,2.8172845450168635,16.676213495984133,Ireland,13.288644688644686,6.775137614678898,,
142,1974,3.2830487296959854,16.018640391431664,Ireland,12.876537216828485,6.284206349206358,,
143,1975,2.467412530512627,17.15726218072989,Ireland,13.703650680028632,6.907223001402519,,
144,1976,2.862280343277502,16.733347782634347,Ireland,13.436856554564176,6.592982456140341,,
145,1977,3.2277801091061944,16.9317058468957,Ireland,13.464556962025302,6.934297769740798,,
146,1978,3.011914715719084,16.85827020852494,Ireland,13.222380336351886,7.2717797443461105,,
147,1979,3.2250000000000245,15.397805543765454,Ireland,12.37346544224261,6.048680203045691,,
148,1980,3.298528099910813,16.212867754875656,Ireland,12.779211637728743,6.867312234293817,,
149,1981,3.1484156570363675,16.538728023326307,Ireland,13.032011605415859,7.013432835820893,,
150,1982,3.615314494074772,17.18305632718982,Ireland,13.758692493946722,6.848727666486202,,
151,1983,3.065909090909107,16.93258397431375,Ireland,13.455743243243255,6.953681462140988,,
152,1984,3.121765209940032,16.966235079003297,Ireland,13.789246843709169,6.353976470588256,,
153,1985,3.4525161290322743,15.76192913075114,Ireland,12.659713790112734,6.204430681276808,,
154,1986,3.4778577476714823,15.126458541458526,Ireland,12.298601398601381,5.65571428571429,,
155,1987,3.0334204793028414,16.232665723533767,Ireland,13.000087489063887,6.465156468939759,,
156,1988,3.4453648068669764,16.455024638151205,Ireland,13.114659926470573,6.680729423361263,,
