vintage,age,ABV,score,price,country,style,precip,temp
1976,29.0,45.40%,96,1500,UK,Single Malt Scotch,2.1732724384432256,14.501037920889175
1982,22.0,50.00%,95,200,UK,Single Malt Scotch,3.2124936515998166,14.421311714121478
2009,30.0,53.20%,95,400,UK,Single Malt Scotch,2.9830914083954863,14.28332938127739
1973,8.0,54.40%,95,280,UK,Single Malt Scotch,2.141950207468896,14.013066348271868
2008,25.0,51.20%,95,500,UK,Single Malt Scotch,2.7585433070866405,13.284823320768414
2012,35.0,48.10%,94,645,UK,Single Malt Scotch,2.674558996471994,14.098866066836235
2014,35.0,48.60%,94,1250,UK,Single Malt Scotch,2.9459724950884367,15.711533492413304
1977,29.0,48.50%,94,300,UK,Single Malt Scotch,2.4811183144246565,13.490555041137837
1973,32.0,41.30%,94,350,UK,Single Malt Scotch,2.141950207468896,14.013066348271868
2017,12.0,56.50%,94,130,UK,Single Malt Scotch,2.9028500619578934,14.959843906399364
2017,12.0,56.50%,94,130,UK,Single Malt Scotch,2.9028500619578934,14.959843906399364
1973,30.0,,93,400,UK,Single Malt Scotch,2.141950207468896,14.013066348271868
1989,16.0,51.80%,93,90,UK,Single Malt Scotch,2.3590113285273047,14.979556941920887
1991,18.0,61.60%,93,191,UK,Single Malt Scotch,2.6779240506329285,14.448130516657713
2015,37.0,50.40%,93,1925,UK,Single Malt Scotch,2.9942599425994536,14.880465527800643
2017,34.0,51.90%,93,1700,UK,Single Malt Scotch,2.9028500619578934,14.959843906399364
2018,35.0,58.10%,93,989,UK,Single Malt Scotch,2.8020202020202385,15.35219856256417
1983,23.0,59.80%,93,150,UK,Single Malt Scotch,2.5845584607795,14.750514929706357
1993,11.0,60.70%,93,80,UK,Single Malt Scotch,2.9940524193548455,13.475823617784245
2009,30.0,57.70%,93,370,UK,Single Malt Scotch,2.9830914083954863,14.28332938127739
2014,35.0,56.50%,93,3300,UK,Single Malt Scotch,2.9459724950884367,15.711533492413304
2017,37.0,51.00%,93,3500,UK,Single Malt Scotch,2.9028500619578934,14.959843906399364
2015,34.0,50.90%,93,2000,UK,Single Malt Scotch,2.9942599425994536,14.880465527800643
1990,14.0,59.10%,93,140,UK,Single Malt Scotch,3.187437686939205,15.03387889454144
2018,28.0,42.80%,92,750,UK,Blended Scotch Whisky,2.8020202020202385,15.35219856256417
2018,30.0,46.80%,92,800,UK,Single Malt Scotch,2.8020202020202385,15.35219856256417
2018,30.0,46.80%,92,800,UK,Single Malt Scotch,2.8020202020202385,15.35219856256417
1987,22.0,46.00%,92,110,UK,Single Malt Scotch,2.8253145445395265,13.447738069297746
1974,31.0,45.40%,92,438,UK,Single Malt Scotch,2.3416938110749443,14.054673005489633
2012,21.0,52.00%,92,624,UK,Single Malt Scotch,2.674558996471994,14.098866066836235
1990,22.0,47.10%,92,250,UK,Single Malt Scotch,3.187437686939205,15.03387889454144
2017,18.0,43.00%,92,294,UK,Single Malt Scotch,2.9028500619578934,14.959843906399364
2018,18.0,43.00%,92,320,UK,Single Malt Scotch,2.8020202020202385,15.35219856256417
2011,32.0,53.90%,92,488,UK,Single Malt Scotch,2.8120253164557205,15.395981179754214
1989,19.0,52.70%,92,150,UK,Single Malt Scotch,2.3590113285273047,14.979556941920887
2009,25.0,54.80%,92,200,UK,Single Malt Scotch,2.9830914083954863,14.28332938127739
2012,35.0,54.60%,92,850,UK,Single Malt Scotch,2.674558996471994,14.098866066836235
1982,22.0,58.90%,91,100,UK,Single Malt Scotch,3.2124936515998166,14.421311714121478
2014,25.0,51.40%,91,500,UK,Single Malt Scotch,2.9459724950884367,15.711533492413304
1990,18.0,46.00%,91,135,UK,Single Malt Scotch,3.187437686939205,15.03387889454144
1977,34.0,48.80%,91,283,UK,Single Malt Scotch,2.4811183144246565,13.490555041137837
1990,8.0,46.00%,90,65,UK,Single Malt Scotch,3.187437686939205,15.03387889454144
