Day,Precipitation,Min Temperature,Max Temperature,id
1/1/1973,9.3,10,11.1,EI000003953
1/2/1973,3.3,9.8,11.9,EI000003953
1/3/1973,2,8.8,11.2,EI000003953
1/4/1973,0,9.7,11.4,EI000003953
1/5/1973,0,6.6,11.1,EI000003953
1/6/1973,0,6.2,9.6,EI000003953
1/7/1973,0,5.4,9.6,EI000003953
1/8/1973,0,6.7,9.6,EI000003953
1/9/1973,0,5.4,9.2,EI000003953
1/10/1973,0.1,6.9,8.9,EI000003953
1/11/1973,0,6.1,10.4,EI000003953
1/12/1973,5.2,6.5,10.8,EI000003953
1/13/1973,0.8,4.6,8.4,EI000003953
1/14/1973,21,4.9,9.7,EI000003953
1/15/1973,3.6,3.8,7.8,EI000003953
1/16/1973,0,0.2,6.5,EI000003953
1/17/1973,0,-2.1,8.3,EI000003953
1/18/1973,41.1,-2.1,10.3,EI000003953
1/19/1973,7.2,4.2,9.7,EI000003953
1/20/1973,2.2,1.9,6.9,EI000003953
1/21/1973,1.3,2.1,6.9,EI000003953
1/22/1973,9.2,-0.6,11.4,EI000003953
1/23/1973,0.1,5.7,11.8,EI000003953
1/24/1973,1.6,9.9,11.8,EI000003953
1/25/1973,1.1,8.9,10.4,EI000003953
1/26/1973,6,6.4,10.9,EI000003953
1/27/1973,2.9,9.1,10.9,EI000003953
1/28/1973,0.4,8.3,10.6,EI000003953
1/29/1973,2.7,7.6,11.2,EI000003953
1/30/1973,8.3,6.3,8.3,EI000003953
1/31/1973,12.2,3.1,10.5,EI000003953
2/1/1973,0.3,7.6,10.7,EI000003953
2/2/1973,0.2,7.7,10.1,EI000003953
2/3/1973,1.7,8.3,10.5,EI000003953
2/4/1973,2.9,7.2,9.6,EI000003953
2/5/1973,0.4,6.1,10.1,EI000003953
2/6/1973,1.7,5.8,10.1,EI000003953
2/7/1973,23.1,8.6,10.6,EI000003953
2/8/1973,5.7,5.7,8.7,EI000003953
2/9/1973,3,2.5,8.4,EI000003953
2/10/1973,0.9,3.7,9.5,EI000003953
2/11/1973,4.2,5.9,10.8,EI000003953
2/12/1973,2.4,5.3,7.2,EI000003953
2/13/1973,6.1,0.2,6.4,EI000003953
2/14/1973,9.1,-0.6,6.8,EI000003953
2/15/1973,0.6,0.3,8.1,EI000003953
2/16/1973,36.4,-2.2,8,EI000003953
2/17/1973,0,-1.1,10.8,EI000003953
2/18/1973,2.1,4,10.3,EI000003953
2/19/1973,0.4,6.5,10.9,EI000003953
2/20/1973,0.9,7.8,10.8,EI000003953
2/21/1973,1.8,8,10.2,EI000003953
2/22/1973,3,5.6,8.5,EI000003953
2/23/1973,13.3,4.5,9.9,EI000003953
2/24/1973,5.7,4.3,8.7,EI000003953
2/25/1973,1.6,1.4,10.5,EI000003953
2/26/1973,0,5.3,10.2,EI000003953
2/27/1973,3.8,1.4,9.9,EI000003953
2/28/1973,7.4,2.1,10.6,EI000003953
3/1/1973,0.4,4.4,9.2,EI000003953
3/2/1973,13.6,5.6,10.8,EI000003953
3/3/1973,11.1,8.2,10.7,EI000003953
3/4/1973,0.7,7.8,9.9,EI000003953
3/5/1973,8.6,1.5,9.4,EI000003953
3/6/1973,0,1.9,9.7,EI000003953
3/7/1973,0.1,0,10.8,EI000003953
3/8/1973,0,5.6,11.9,EI000003953
3/9/1973,0,6.2,14.2,EI000003953
3/10/1973,0,6.2,11.6,EI000003953
3/11/1973,0,4.8,13.3,EI000003953
3/12/1973,0,2.1,13.8,EI000003953
3/13/1973,0,1.9,10.7,EI000003953
3/14/1973,0,1.8,9.1,EI000003953
3/15/1973,0,2.6,9.8,EI000003953
3/16/1973,0,-1,9.5,EI000003953
3/17/1973,0,-2,9.7,EI000003953
3/18/1973,0,2.2,12.3,EI000003953
3/19/1973,0,6.5,12.7,EI000003953
3/20/1973,0,2.7,15.6,EI000003953
3/21/1973,0,4.5,13.6,EI000003953
3/22/1973,0,7,12.3,EI000003953
3/23/1973,8,7.3,14.4,EI000003953
3/24/1973,2.8,5.9,11.1,EI000003953
3/25/1973,0.1,4.2,10.1,EI000003953
3/26/1973,1.1,2.6,10,EI000003953
3/27/1973,4.8,7.2,11.4,EI000003953
3/28/1973,0,6.5,11.2,EI000003953
3/29/1973,5.2,2.1,11,EI000003953
3/30/1973,1,5.5,9.9,EI000003953
3/31/1973,1.5,6,10.4,EI000003953
