Day,Precipitation,Min Temperature,Max Temperature,id
1/1/1973,S,S,S,EIE00107762
1/2/1973,S,S,S,EIE00107762
1/3/1973,S,S,S,EIE00107762
1/4/1973,S,S,S,EIE00107762
1/5/1973,S,S,S,EIE00107762
1/6/1973,S,S,S,EIE00107762
1/7/1973,S,S,S,EIE00107762
1/8/1973,S,S,S,EIE00107762
1/9/1973,S,S,S,EIE00107762
1/10/1973,S,S,S,EIE00107762
1/11/1973,S,S,S,EIE00107762
1/12/1973,S,S,S,EIE00107762
1/13/1973,S,S,S,EIE00107762
1/14/1973,S,S,S,EIE00107762
1/15/1973,S,S,S,EIE00107762
1/16/1973,S,S,S,EIE00107762
1/17/1973,S,S,S,EIE00107762
1/18/1973,S,S,S,EIE00107762
1/19/1973,S,S,S,EIE00107762
1/20/1973,S,S,S,EIE00107762
1/21/1973,S,S,S,EIE00107762
1/22/1973,S,S,S,EIE00107762
1/23/1973,S,S,S,EIE00107762
1/24/1973,S,S,S,EIE00107762
1/25/1973,S,S,S,EIE00107762
1/26/1973,S,S,S,EIE00107762
1/27/1973,S,S,S,EIE00107762
1/28/1973,S,S,S,EIE00107762
1/29/1973,S,S,S,EIE00107762
1/30/1973,S,S,S,EIE00107762
1/31/1973,S,S,S,EIE00107762
2/1/1973,S,S,S,EIE00107762
2/2/1973,S,S,S,EIE00107762
2/3/1973,S,S,S,EIE00107762
2/4/1973,S,S,S,EIE00107762
2/5/1973,S,S,S,EIE00107762
2/6/1973,S,S,S,EIE00107762
2/7/1973,S,S,S,EIE00107762
2/8/1973,S,S,S,EIE00107762
2/9/1973,S,S,S,EIE00107762
2/10/1973,S,S,S,EIE00107762
2/11/1973,S,S,S,EIE00107762
2/12/1973,S,S,S,EIE00107762
2/13/1973,S,S,S,EIE00107762
2/14/1973,S,S,S,EIE00107762
2/15/1973,S,S,S,EIE00107762
2/16/1973,S,S,S,EIE00107762
2/17/1973,S,S,S,EIE00107762
2/18/1973,S,S,S,EIE00107762
2/19/1973,S,S,S,EIE00107762
2/20/1973,S,S,S,EIE00107762
2/21/1973,S,S,S,EIE00107762
