Day,Precipitation,Min Temperature,Max Temperature
1/1/1973,S,S,S
1/2/1973,S,S,S
1/3/1973,S,S,S
1/4/1973,S,S,S
1/5/1973,S,S,S
1/6/1973,S,S,S
1/7/1973,S,S,S
1/8/1973,S,S,S
1/9/1973,S,S,S
1/10/1973,S,S,S
1/11/1973,S,S,S
1/12/1973,S,S,S
1/13/1973,S,S,S
1/14/1973,S,S,S
1/15/1973,S,S,S
1/16/1973,S,S,S
1/17/1973,S,S,S
1/18/1973,S,S,S
1/19/1973,S,S,S
1/20/1973,S,S,S
1/21/1973,S,S,S
1/22/1973,S,S,S
1/23/1973,S,S,S
1/24/1973,S,S,S
1/25/1973,S,S,S
1/26/1973,S,S,S
1/27/1973,S,S,S
1/28/1973,S,S,S
1/29/1973,S,S,S
1/30/1973,S,S,S
1/31/1973,S,S,S
2/1/1973,S,S,S
2/2/1973,S,S,S
2/3/1973,S,S,S
2/4/1973,S,S,S
2/5/1973,S,S,S
2/6/1973,S,S,S
2/7/1973,S,S,S
2/8/1973,S,S,S
2/9/1973,S,S,S
2/10/1973,S,S,S
2/11/1973,S,S,S
2/12/1973,S,S,S
2/13/1973,S,S,S
2/14/1973,S,S,S
2/15/1973,S,S,S
2/16/1973,S,S,S
2/17/1973,S,S,S
2/18/1973,S,S,S
2/19/1973,S,S,S
2/20/1973,S,S,S
2/21/1973,S,S,S
2/22/1973,S,S,S
2/23/1973,S,S,S
2/24/1973,S,S,S
2/25/1973,S,S,S
2/26/1973,S,S,S
2/27/1973,S,S,S
2/28/1973,S,S,S
3/1/1973,S,S,S
3/2/1973,S,S,S
3/3/1973,S,S,S
3/4/1973,S,S,S
3/5/1973,S,S,S
3/6/1973,S,S,S
3/7/1973,S,S,S
3/8/1973,S,S,S
3/9/1973,S,S,S
3/10/1973,S,S,S
3/11/1973,S,S,S
3/12/1973,S,S,S
3/13/1973,S,S,S
3/14/1973,S,S,S
3/15/1973,S,S,S
3/16/1973,S,S,S
3/17/1973,S,S,S
3/18/1973,S,S,S
3/19/1973,S,S,S
3/20/1973,S,S,S
3/21/1973,S,S,S
3/22/1973,S,S,S
3/23/1973,S,S,S
3/24/1973,S,S,S
3/25/1973,S,S,S
3/26/1973,S,S,S
3/27/1973,S,S,S
3/28/1973,S,S,S
3/29/1973,S,S,S
3/30/1973,S,S,S
3/31/1973,S,S,S
4/1/1973,S,S,S
4/2/1973,S,S,S
4/3/1973,S,S,S
4/4/1973,S,S,S
4/5/1973,S,S,S
4/6/1973,S,S,S
4/7/1973,S,S,S
4/8/1973,S,S,S
4/9/1973,S,S,S
4/10/1973,S,S,S
4/11/1973,S,S,S
4/12/1973,S,S,S
4/13/1973,S,S,S
4/14/1973,S,S,S
4/15/1973,S,S,S
4/16/1973,S,S,S
4/17/1973,S,S,S
4/18/1973,S,S,S
4/19/1973,S,S,S
4/20/1973,S,S,S
4/21/1973,S,S,S
4/22/1973,S,S,S
4/23/1973,S,S,S
4/24/1973,S,S,S
4/25/1973,S,S,S
4/26/1973,S,S,S
4/27/1973,S,S,S
4/28/1973,S,S,S
4/29/1973,S,S,S
4/30/1973,S,S,S
5/1/1973,S,S,S
5/2/1973,S,S,S
5/3/1973,S,S,S
5/4/1973,S,S,S
5/5/1973,S,S,S
5/6/1973,S,S,S
5/7/1973,S,S,S
5/8/1973,S,S,S
5/9/1973,S,S,S
