Day,Precipitation,Min Temperature,Max Temperature,id
1/1/1973,9.9,M,M,EIM00003976
1/2/1973,17,M,M,EIM00003976
1/3/1973,0,M,M,EIM00003976
1/4/1973,M,M,M,EIM00003976
1/5/1973,0,M,M,EIM00003976
1/6/1973,0,M,M,EIM00003976
1/7/1973,0,M,M,EIM00003976
1/8/1973,0,M,M,EIM00003976
1/9/1973,0,M,M,EIM00003976
1/10/1973,0,M,M,EIM00003976
1/11/1973,0,M,M,EIM00003976
1/12/1973,3,M,M,EIM00003976
1/13/1973,2,M,M,EIM00003976
1/14/1973,0,M,M,EIM00003976
1/15/1973,16,M,M,EIM00003976
1/16/1973,1.5,M,M,EIM00003976
1/17/1973,0.3,M,M,EIM00003976
1/18/1973,1,M,M,EIM00003976
1/19/1973,15,M,M,EIM00003976
1/20/1973,10.9,M,M,EIM00003976
1/21/1973,6.1,M,M,EIM00003976
1/22/1973,5.1,M,M,EIM00003976
1/23/1973,2.3,M,M,EIM00003976
1/24/1973,0,M,M,EIM00003976
1/25/1973,5.1,M,M,EIM00003976
1/26/1973,6.1,M,M,EIM00003976
1/27/1973,11.4,M,M,EIM00003976
1/28/1973,1.3,M,M,EIM00003976
1/29/1973,0.5,M,M,EIM00003976
1/30/1973,7.9,M,M,EIM00003976
1/31/1973,4.1,M,M,EIM00003976
2/1/1973,0.5,M,M,EIM00003976
2/2/1973,0.3,M,M,EIM00003976
2/3/1973,0,M,M,EIM00003976
2/4/1973,M,M,M,EIM00003976
2/5/1973,5.1,M,M,EIM00003976
2/6/1973,2.3,M,M,EIM00003976
2/7/1973,3,M,M,EIM00003976
2/8/1973,11.9,M,M,EIM00003976
2/9/1973,5.1,M,M,EIM00003976
2/10/1973,4.1,M,M,EIM00003976
2/11/1973,3,M,M,EIM00003976
2/12/1973,13,M,M,EIM00003976
2/13/1973,3,M,M,EIM00003976
2/14/1973,7.9,M,M,EIM00003976
2/15/1973,7.1,M,M,EIM00003976
2/16/1973,1,M,M,EIM00003976
2/17/1973,7.1,M,M,EIM00003976
2/18/1973,0,M,M,EIM00003976
2/19/1973,0.5,M,M,EIM00003976
2/20/1973,0,M,M,EIM00003976
2/21/1973,1.3,M,M,EIM00003976
2/22/1973,4.1,M,M,EIM00003976
2/23/1973,1.5,M,M,EIM00003976
2/24/1973,M,M,M,EIM00003976
2/25/1973,6.1,M,M,EIM00003976
2/26/1973,M,M,M,EIM00003976
2/27/1973,3,M,M,EIM00003976
2/28/1973,0,M,M,EIM00003976
3/1/1973,9.9,M,M,EIM00003976
3/2/1973,1,M,M,EIM00003976
3/3/1973,3.3,M,M,EIM00003976
3/4/1973,4.1,M,M,EIM00003976
3/5/1973,M,M,M,EIM00003976
3/6/1973,3.6,M,M,EIM00003976
3/7/1973,0,M,M,EIM00003976
3/8/1973,0,M,M,EIM00003976
3/9/1973,0,M,M,EIM00003976
3/10/1973,0,M,M,EIM00003976
3/11/1973,0,M,M,EIM00003976
3/12/1973,0,M,M,EIM00003976
3/13/1973,0,M,M,EIM00003976
3/14/1973,0,M,M,EIM00003976
3/15/1973,0,M,M,EIM00003976
3/16/1973,0,M,M,EIM00003976
3/17/1973,0,M,M,EIM00003976
3/18/1973,0.5,M,M,EIM00003976
3/19/1973,0,M,M,EIM00003976
3/20/1973,0,M,M,EIM00003976
3/21/1973,0,M,M,EIM00003976
3/22/1973,0,M,M,EIM00003976
3/23/1973,M,M,M,EIM00003976
3/24/1973,6.1,M,M,EIM00003976
3/25/1973,4.1,M,M,EIM00003976
3/26/1973,2,M,M,EIM00003976
3/27/1973,7.1,M,M,EIM00003976
3/28/1973,0.5,M,M,EIM00003976
3/29/1973,2,M,M,EIM00003976
3/30/1973,10.4,M,M,EIM00003976
3/31/1973,2.5,M,M,EIM00003976
4/1/1973,5.1,M,M,EIM00003976
4/2/1973,14.5,M,M,EIM00003976
4/3/1973,3,M,M,EIM00003976
4/4/1973,8.9,M,M,EIM00003976
4/5/1973,1,M,M,EIM00003976
4/6/1973,1.3,M,M,EIM00003976
4/7/1973,0.3,M,M,EIM00003976
4/8/1973,2.5,M,M,EIM00003976
4/9/1973,0.5,M,M,EIM00003976
4/10/1973,0,M,M,EIM00003976
4/11/1973,0,M,M,EIM00003976
4/12/1973,0.5,M,M,EIM00003976
4/13/1973,0.3,M,M,EIM00003976
4/14/1973,0,M,M,EIM00003976
4/15/1973,0,M,M,EIM00003976
4/16/1973,0,M,M,EIM00003976
4/17/1973,0.3,M,M,EIM00003976
4/18/1973,0,M,M,EIM00003976
4/19/1973,0,M,M,EIM00003976
4/20/1973,0,M,M,EIM00003976
4/21/1973,2,M,M,EIM00003976
4/22/1973,1,M,M,EIM00003976
4/23/1973,0,M,M,EIM00003976
4/24/1973,M,M,M,EIM00003976
4/25/1973,0,M,M,EIM00003976
4/26/1973,0,M,M,EIM00003976
4/27/1973,M,M,M,EIM00003976
4/28/1973,1,M,M,EIM00003976
4/29/1973,M,M,M,EIM00003976
4/30/1973,2.3,M,M,EIM00003976
5/1/1973,3,M,M,EIM00003976
5/2/1973,0,M,M,EIM00003976
5/3/1973,8.9,M,M,EIM00003976
5/4/1973,4.1,M,M,EIM00003976
5/5/1973,1,M,M,EIM00003976
5/6/1973,10.9,M,M,EIM00003976
5/7/1973,0.5,M,M,EIM00003976
5/8/1973,1.3,M,M,EIM00003976
5/9/1973,7.1,M,M,EIM00003976
5/10/1973,4.1,M,M,EIM00003976
5/11/1973,M,M,M,EIM00003976
5/12/1973,3,M,M,EIM00003976
5/13/1973,2,M,M,EIM00003976
5/14/1973,0.5,M,M,EIM00003976
5/15/1973,0,M,M,EIM00003976
5/16/1973,0,M,M,EIM00003976
5/17/1973,0,M,M,EIM00003976
5/18/1973,0,M,M,EIM00003976
5/19/1973,0,M,M,EIM00003976
5/20/1973,14,M,M,EIM00003976
5/21/1973,0.5,M,M,EIM00003976
5/22/1973,8.9,M,M,EIM00003976
5/23/1973,7.1,M,M,EIM00003976
5/24/1973,4.1,M,M,EIM00003976
5/25/1973,1,M,M,EIM00003976
5/26/1973,0,M,M,EIM00003976
5/27/1973,1,M,M,EIM00003976
5/28/1973,0,M,M,EIM00003976
5/29/1973,0.5,M,M,EIM00003976
5/30/1973,2,M,M,EIM00003976
5/31/1973,M,M,M,EIM00003976
6/1/1973,1.3,M,M,EIM00003976
6/2/1973,14,M,M,EIM00003976
6/3/1973,0.3,M,M,EIM00003976
6/4/1973,0.3,M,M,EIM00003976
6/5/1973,0,M,M,EIM00003976
6/6/1973,M,M,M,EIM00003976
6/7/1973,0,M,M,EIM00003976
6/8/1973,0.3,M,M,EIM00003976
6/9/1973,2.3,M,M,EIM00003976
6/10/1973,0.5,M,M,EIM00003976
6/11/1973,0.5,M,M,EIM00003976
6/12/1973,8.9,M,M,EIM00003976
6/13/1973,1,M,M,EIM00003976
6/14/1973,0.3,M,M,EIM00003976
6/15/1973,0,M,M,EIM00003976
6/16/1973,2,M,M,EIM00003976
6/17/1973,2,M,M,EIM00003976
6/18/1973,3,M,M,EIM00003976
6/19/1973,0.5,M,M,EIM00003976
6/20/1973,0,M,M,EIM00003976
6/21/1973,0,M,M,EIM00003976
6/22/1973,0.5,M,M,EIM00003976
6/23/1973,0,M,M,EIM00003976
6/24/1973,0,M,M,EIM00003976
6/25/1973,1,M,M,EIM00003976
6/26/1973,0,M,M,EIM00003976
6/27/1973,0,M,M,EIM00003976
6/28/1973,1,M,M,EIM00003976
6/29/1973,4.1,M,M,EIM00003976
6/30/1973,9.9,M,M,EIM00003976
7/1/1973,M,M,M,EIM00003976
7/2/1973,0.3,M,M,EIM00003976
7/3/1973,2,M,M,EIM00003976
7/4/1973,0,M,M,EIM00003976
7/5/1973,3,M,M,EIM00003976
7/6/1973,M,M,M,EIM00003976
7/7/1973,0,M,M,EIM00003976
7/8/1973,0,M,M,EIM00003976
7/9/1973,1,M,M,EIM00003976
