Day,Precipitation,Min Temperature,Max Temperature,id
1/1/1973,M,10,11,UKM00003917
1/2/1973,4.3,M,10,UKM00003917
1/3/1973,2,-1,M,UKM00003917
1/4/1973,M,M,8,UKM00003917
1/5/1973,0,6,8,UKM00003917
1/6/1973,0,M,8,UKM00003917
1/7/1973,0,M,7,UKM00003917
1/8/1973,0,M,7,UKM00003917
1/9/1973,0,4,6,UKM00003917
1/10/1973,0,5,M,UKM00003917
1/11/1973,0,4,6,UKM00003917
1/12/1973,0.3,3,M,UKM00003917
1/13/1973,M,M,M,UKM00003917
1/14/1973,M,2,7,UKM00003917
1/15/1973,8.9,M,M,UKM00003917
1/16/1973,1,M,3,UKM00003917
1/17/1973,M,M,2,UKM00003917
1/18/1973,0,-6,5,UKM00003917
1/19/1973,M,M,M,UKM00003917
1/20/1973,22.1,M,M,UKM00003917
1/21/1973,1.3,1,5,UKM00003917
1/22/1973,2,M,M,UKM00003917
1/23/1973,7.1,3,11,UKM00003917
1/24/1973,M,M,11,UKM00003917
1/25/1973,3,M,9,UKM00003917
1/26/1973,2,4,9,UKM00003917
1/27/1973,0,4,7,UKM00003917
1/28/1973,1,5,10,UKM00003917
1/29/1973,0.3,M,9,UKM00003917
1/30/1973,1.3,M,M,UKM00003917
1/31/1973,M,M,M,UKM00003917
2/1/1973,3,5,10,UKM00003917
2/2/1973,0.5,7,10,UKM00003917
2/3/1973,0.5,M,9,UKM00003917
2/4/1973,0.3,7,8,UKM00003917
2/5/1973,M,M,8,UKM00003917
2/6/1973,0.3,5,10,UKM00003917
2/7/1973,2,5,9,UKM00003917
2/8/1973,5.1,M,M,UKM00003917
2/9/1973,M,0,6,UKM00003917
2/10/1973,1,1,7,UKM00003917
2/11/1973,20.1,M,8,UKM00003917
2/12/1973,6.1,M,M,UKM00003917
2/13/1973,8.9,-1,1,UKM00003917
2/14/1973,M,M,1,UKM00003917
2/15/1973,0.5,M,2,UKM00003917
2/16/1973,0,-7,4,UKM00003917
2/17/1973,0,M,7,UKM00003917
2/18/1973,0.3,-2,M,UKM00003917
2/19/1973,0.3,4,10,UKM00003917
2/20/1973,0,6,12,UKM00003917
2/21/1973,0.3,M,10,UKM00003917
2/22/1973,2,M,6,UKM00003917
2/23/1973,7.9,0,5,UKM00003917
2/24/1973,M,M,M,UKM00003917
2/25/1973,0,-3,2,UKM00003917
2/26/1973,0.5,0,5,UKM00003917
2/27/1973,1,-1,7,UKM00003917
2/28/1973,M,M,10,UKM00003917
3/1/1973,M,M,9,UKM00003917
3/2/1973,0,1,9,UKM00003917
3/3/1973,1,6,10,UKM00003917
3/4/1973,2,M,9,UKM00003917
3/5/1973,5.1,-2,8,UKM00003917
3/6/1973,M,1,8,UKM00003917
3/7/1973,0,0,10,UKM00003917
3/8/1973,0,M,9,UKM00003917
3/9/1973,0,1,12,UKM00003917
3/10/1973,0.3,-4,9,UKM00003917
3/11/1973,0,-3,M,UKM00003917
3/12/1973,0,-7,9,UKM00003917
3/13/1973,0,M,7,UKM00003917
3/14/1973,0,-4,6,UKM00003917
3/15/1973,M,M,7,UKM00003917
3/16/1973,0,2,9,UKM00003917
3/17/1973,0,4,12,UKM00003917
3/18/1973,0,M,13,UKM00003917
3/19/1973,0,M,10,UKM00003917
3/20/1973,0,M,10,UKM00003917
3/21/1973,0,0,14,UKM00003917
3/22/1973,0,M,12,UKM00003917
3/23/1973,2,6,14,UKM00003917
3/24/1973,0.8,7,13,UKM00003917
3/25/1973,2,M,12,UKM00003917
3/26/1973,0,-1,10,UKM00003917
3/27/1973,M,4,M,UKM00003917
3/28/1973,4.1,3,11,UKM00003917
3/29/1973,0,3,11,UKM00003917
3/30/1973,6.1,M,M,UKM00003917
3/31/1973,1,3,9,UKM00003917
4/1/1973,1.5,3,9,UKM00003917
4/2/1973,18,0,7,UKM00003917
4/3/1973,0,-2,9,UKM00003917
4/4/1973,9.9,4,12,UKM00003917
4/5/1973,2.3,3,9,UKM00003917
4/6/1973,M,2,9,UKM00003917
4/7/1973,0.3,M,9,UKM00003917
