Year,Rainfall - (MM),Temperature - (Celsius),country
1970,36.764208333333336,-7.206939166666666,Canada
1971,39.08906666666666,-7.005590833333332,Canada
1972,37.522016666666666,-8.951065833333333,Canada
1973,39.577083333333334,-6.346726666666666,Canada
1974,39.348958333333336,-7.861009166666669,Canada
1975,38.74661666666667,-7.139099999999999,Canada
1976,38.32606666666667,-6.941474166666667,Canada
1977,38.79026666666667,-6.011002500000001,Canada
1978,37.711333333333336,-7.4133008333333335,Canada
1979,39.170475,-7.281226666666666,Canada
1980,39.86658333333333,-6.491176666666665,Canada
1981,39.22966666666667,-4.947253333333333,Canada
1982,39.682558333333326,-8.0299175,Canada
1983,39.45945833333333,-6.94961,Canada
1984,40.12045,-6.8374291666666664,Canada
1985,37.921191666666665,-6.944249999999999,Canada
1986,39.10026666666667,-7.046362499999998,Canada
1987,37.31468333333334,-5.679007500000002,Canada
1988,39.981325,-6.1219591666666675,Canada
1989,37.27083333333333,-7.155417500000001,Canada
1990,38.96042500000001,-7.1663225,Canada
1991,39.09265,-6.548698333333334,Canada
1992,37.868024999999996,-7.095869166666667,Canada
1993,37.79025,-6.439831666666667,Canada
1994,38.532424999999996,-6.416501666666666,Canada
1995,37.425850000000004,-6.272845,Canada
1996,40.44761666666667,-7.017297499999999,Canada
1997,39.79014166666666,-6.323374999999999,Canada
1998,38.295408333333334,-4.659417499999999,Canada
1999,40.54865833333333,-5.460449166666666,Canada
2000,38.07581666666666,-6.2110125,Canada
2001,38.412975,-5.4043575,Canada
2002,37.6574,-6.418768333333333,Canada
2003,38.31948333333333,-5.9090050000000005,Canada
2004,37.859675,-7.077128333333332,Canada
2005,41.74080833333334,-5.349289166666666,Canada
2006,38.14445833333334,-4.633815,Canada
2007,39.452025,-6.174463333333333,Canada
2008,39.95335,-6.482341666666666,Canada
2009,38.483491666666666,-6.266198333333334,Canada
2010,39.92811666666667,-4.186646666666667,Canada
2011,38.33970833333334,-5.709931666666665,Canada
2012,37.82644166666666,-5.398873333333332,Canada
2013,37.156641666666665,-6.4649600000000005,Canada
2014,38.9816,-6.220375833333333,Canada
2015,36.494175000000006,-5.9539358333333325,Canada
2016,38.86465,-4.965330833333334,Canada
