Year,Rainfall - (MM),Temperature - (Celsius),country
1970,128.88446666666667,10.276935,Japan
1971,133.44110833333335,10.242257500000001,Japan
1972,161.30069999999998,10.797284166666666,Japan
1973,116.33051666666667,10.626771666666665,Japan
1974,134.93922499999996,10.074774166666666,Japan
1975,137.64530833333333,10.674335,Japan
1976,141.09605833333333,10.102304166666666,Japan
1977,122.06045833333333,10.566574999999998,Japan
1978,103.96755,10.845942500000001,Japan
1979,142.47705833333333,11.165610000000001,Japan
1980,160.46461666666667,10.151059166666666,Japan
1981,137.557475,9.982656666666667,Japan
1982,130.4737,10.682659166666667,Japan
1983,135.10329166666665,10.46942,Japan
1984,99.27137500000002,10.034118333333334,Japan
1985,137.49134166666667,10.636512499999998,Japan
1986,118.72134166666666,10.023324166666667,Japan
1987,124.15886666666667,10.876800000000001,Japan
1988,132.23817499999998,10.317303333333335,Japan
1989,151.89284166666667,11.273419166666669,Japan
1990,143.5428666666667,11.935230833333335,Japan
1991,148.54379166666664,11.285607500000003,Japan
1992,125.45964166666666,10.969435833333334,Japan
1993,160.9766,10.511664999999999,Japan
1994,99.95890833333333,11.694824166666665,Japan
1995,125.58744999999999,10.993556666666668,Japan
1996,114.23712499999999,10.574900833333334,Japan
1997,133.48071666666667,11.237715833333333,Japan
1998,158.4575,11.720316666666667,Japan
1999,143.42644166666668,11.599891666666666,Japan
2000,127.57362499999999,11.375715833333333,Japan
2001,128.31859999999998,10.98532,Japan
2002,129.2736833333333,11.350846666666667,Japan
2003,142.47640833333335,11.013828333333331,Japan
2004,139.70644166666668,11.958797499999998,Japan
2005,115.83561666666664,11.05663,Japan
2006,149.71338333333333,11.263286666666666,Japan
2007,121.86255000000001,11.694632499999999,Japan
2008,123.80634166666668,11.4151775,Japan
2009,136.82457499999998,11.465723333333335,Japan
2010,146.51639999999998,11.759870833333336,Japan
2011,145.12125,11.318910833333334,Japan
2012,142.17775833333332,11.119136666666668,Japan
2013,141.805125,11.491659166666665,Japan
2014,142.49424166666668,11.271364999999998,Japan
2015,146.50005,11.8047175,Japan
2016,151.20018333333334,11.875195,Japan
