station_id,station_name,lat,long,state,country,units,elevation(m)
EI000003953,VALENTIA OBSERVATORY,51.9394,-10.2219,,IE,Metric,9.1
EI000003969,DUBLIN PHOENIX PARK,53.3639,-6.3192,,IE,Metric,49.1
EIE00107762,WATERFORD (TYCOR),52.2531,-7.1308,,IE,Metric,49.1
EIE00107808,BALLYSHANNON (CATHLEENS FALL),54.5,-8.1789,,IE,Metric,38.1
EIM00003955,CORK,51.841,-8.491,,IE,Metric,153
EIM00003962,SHANNON,52.702,-8.925,,IE,Metric,14
EIM00003973,CONNAUGHT,53.91,-8.818,,IE,Metric,202.7
EIM00003976,BELMULLET,54.233000000000004,-10.0,,IE,Metric,9.8
UK000003162,ESKDALEMUIR,55.317,-3.2,,GB,Metric,242
UK000070765,WICK,58.45,-3.083,,GB,Metric,36
UKM00003017,KIRKWALL,58.958,-2.905,,GB,Metric,15.5
UKM00003066,KINLOSS,57.648999999999994,-3.5610000000000004,,GB,Metric,6.7
UKM00003091,CRAIBSTONE,57.18,-2.2,,GB,Metric,102.1
UKM00003171,LEUCHARS,56.373000000000005,-2.8680000000000003,,GB,Metric,11.6
UKM00003917,ALDERGROVE,54.658,-6.216,,GB,Metric,81.7
