name,age,vintage,vol,ml,price
"Glen Scotia, Acorn b.2010One of 165 Bottles",33,1977,54.60%,700,265 €September 2017
"Glen Scotia, Adelphi b.2005(Cask 1071)",14,1991,61.60%,700,87 €November 2016
"Glen Scotia, Braunstein (150th Anniversary ) b.2010(Cask 15)",18,1992,60.20%,700,102 €March 2019
"Glen Scotia, Cadenhead b.2008One of 310 Bottles",9,1999,59.50%,700,56 €July 2012
"Glen Scotia, CadenheadAuthentic Collection b.2006One of 210 Bottles",15,1991,57.80%,700,137 €June 2015
"Glen Scotia, CadenheadAuthentic Collection b.2017One of 186 Bottles",25,1992,44.00%,700,95 €February 2019
"Glen Scotia, CadenheadSherry Cask b.2014One of 588 Bottles",15,1999,58.70%,700,86 €December 2018
"Glen Scotia, Cadenhead b.2017One of 618 Bottles",18,1999,56.90%,700,108 €April 2019
"Glen Scotia, CadenheadSherry Cask b.2015One of 252 Bottles",15,2000,68.00%,700,64 €May 2017
"Glen Scotia, CadenheadDuthies",17,,46.00%,700,53 €March 2014
"Glen Scotia, CadenheadBond Reserve b.2008One of 310 Bottles",9,1999,59.50%,700,110 €January 2016
"Glen Scotia, CadenheadSherry Cask b.2016One of 612 Bottles",16,2000,57.80%,700,82 €February 2019
"Glen Scotia, Cadenhead b.1990",13,1977,58.80%,750,719 €December 2018
"Glen Scotia, CadenheadAuthentic Collection b.2018One of 228 Bottles",26,1992,47.30%,700,160 €June 2019
"Glen Scotia, CadenheadWarehouse Tasting b.2017",17,2000,56.40%,700,115 €January 2019
"Glen Scotia, CadenheadAuthentic Collection b.2005One of 198 Bottles",14,1991,57.70%,700,210 €March 2019
"Glen Scotia, CadenheadAuthentic Collection b.2010One of 276 Bottles",11,1999,58.00%,700,91 €March 2017
"Glen Scotia, CadenheadAuthentic Collection b.2010One of 260 Bottles",18,1992,52.10%,700,81 €May 2015
"Glen Scotia, Cadenhead (Shop Edinburgh) b.2018One of 222 Bottles",26,1992,49.50%,700,160 €June 2019
"Glen Scotia, Creative Whisky CompanyExclusive Casks b.2009(Cask 1247)",18,1991,52.60%,700,75 €January 2018
"Glen Scotia, Creative Whisky CompanyExclusive Malts b.2007One of 241 Bottles (Cask 424)",15,1992,53.40%,700,98 €August 2018
"Glen Scotia, Dewar RattrayCask Collection b.2010One of 195 Bottles (Cask 985)",33,1977,57.00%,700,659 €January 2018
"Glen Scotia, Dewar RattrayCask Collection b.2011One of 359 Bottles",19,1992,59.60%,700,135 €March 2019
"Glen Scotia, Dewar RattrayCask Collection b.2009One of 335 Bottles",17,1992,59.40%,700,145 €February 2019
"Glen Scotia, Douglas LaingThe Old Malt Cask b.1999One of 94 Bottles",30,1969,50.00%,700,727 €July 2017
"Glen Scotia, Douglas LaingThe Old Malt Cask b.2010One of 365 Bottles (Cask 7017)",18,1992,50.00%,700,80 €April 2018
"Glen Scotia, Duncan TaylorDimensions Strong Box b.2012One of 66 Bottles (Cask 710394)",21,1991,52.80%,700,118 €October 2018
"Glen Scotia, Dutch Whisky Society b.2008One of 41 Bottles",16,1992,52.10%,700,76 €May 2015
"Glen Scotia, Feinkost ReifferscheidLoreley Romantic Rhine Collection b.2010One of 72 Bottles (Cask 710416)",19,1991,51.20%,700,73 €June 2012
"Glen Scotia, Gordon & MacPhailMacPhails Collection b.2014",22,1992,43.00%,700,77 €March 2019
"Glen Scotia, Gordon & MacPhailMacPhail´s Collection b.1999",9,1990,40.00%,700,75 €November 2018
"Glen Scotia, Gordon & MacPhailMacPhail´s Collection b.2000",10,1990,40.00%,700,39 €September 2016
"Glen Scotia, Gordon & MacPhailMacPhail´s Collection b.2003",13,1990,40.00%,700,56 €July 2017
"Glen Scotia, Gordon & MacPhailMacPhails Collection b.2015",23,1992,43.00%,700,76 €June 2019
"Glen Scotia, Gordon & MacPhailCask Strength b.2004(Cask 90)",12,1992,61.90%,700,80 €October 2016
"Glen Scotia, Gordon & MacPhail b.2006(Cask 99 103 104)",14,1992,59.90%,700,102 €January 2019
"Glen Scotia, Gordon & MacPhail b.2006",15,1991,43.00%,700,70 €November 2018
"Glen Scotia, Gordon & MacPhailMacPhail´s Collection b.2001",11,1990,40.00%,700,57 €September 2018
"Glen Scotia, Hart Brothers b.2012",20,1992,56.30%,700,93 €June 2019
"Glen Scotia, Hunter LaingThe Old Malt Cask b.2013One of 230 Bottles",22,1991,50.00%,700,147 €September 2017
"Glen Scotia, Ian MacleodChieftain´s Strong Box b.2004One of 204 Bottles (Cask 991)",30,1974,42.20%,700,264 €August 2016
"Glen Scotia, Ian MacleodChieftain´s b.2004One of 192 Bottles (Cask 990)",30,1974,40.20%,700,287 €June 2018
"Glen Scotia, Ian MacleodDun Bheagan Strong Box b.2009One of 210 Bottles (Cask 1691)",32,1977,56.00%,700,235 €September 2016
"Glen Scotia, Ian MacleodDun Bheagan b.2004One of 223 Bottles (Cask 691)",29,1975,43.00%,700,155 €March 2016
"Glen Scotia, Ian MacleodDun Bheagan b.2004One of 220 Bottles (Cask 691)",29,1975,43.60%,700,195 €January 2018
"Glen Scotia, Ian MacleodDun Bheagan b.2006One of 144 Bottles (Cask 2191)",31,1975,51.40%,700,326 €January 2019
"Glen Scotia, Ian MacleodChieftain´s Strong Box b.2004One of 192 Bottles (Cask 993)",30,1974,41.20%,700,310 €January 2018
"Glen Scotia, Jack Wiebers Whisky WorldAuld Distillers Collection b.2007One of 174 Bottles",16,1991,51.60%,700,86 €March 2016
"Glen Scotia, Jack Wiebers Whisky WorldFighting Fish b.2013One of 214 Bottles",21,1992,50.90%,700,138 €May 2019
"Glen Scotia, Lombard b.1999",8,1991,50.00%,700,61 €January 2016
"Glen Scotia, Magni Spirits AB b.2006One of 2006 Bottles",15,1991,46.20%,700,128 €December 2016
"Glen Scotia, Maltbarn b.2015One of 144 Bottles",23,1992,53.30%,700,116 €June 2019
"Glen Scotia, Malts of Scotland b.2015One of 158 Bottles",23,1992,51.90%,700,152 €August 2018
"Glen Scotia, Malts of Scotland b.2010One of 199 Bottles (Cask 429)",18,1992,53.30%,700,100 €August 2017
"Glen Scotia, Malts of Scotland b.2011One of 158 Bottles (Cask 12009)",20,1991,54.50%,700,150 €January 2019
"Glen Scotia, Malts of Scotland b.2010One of 114 Bottles (Cask 1926)",38,1972,45.10%,700,380 €August 2018
"Glen Scotia, Malts of Scotland b.2012One of 128 Bottles (Cask 13024)",40,1972,44.90%,700,300 €November 2018
"Glen Scotia, Malts of Scotland b.2010One of 88 Bottles (Cask 1931)",38,1972,45.70%,700,355 €January 2019
"Glen Scotia, Murray McDavidRich Cigar Malt b.2008",16,1992,46.00%,700,125 €July 2017
"Glen Scotia, Murray McDavid b.2008One of 2500 Bottles",16,1992,46.00%,700,79 €June 2019
"Glen Scotia, Murray McDavidMission b.2008One of 693 Bottles",17,1991,54.00%,700,78 €October 2012
"Glen Scotia, Murray McDavidBenchmark b.2015One of 331 Bottles (Cask 3)",24,1991,46.00%,700,157 €June 2019
"Glen Scotia, Murray McDavidMission b.2003One of 496 Bottles",28,1975,46.00%,700,274 €July 2018
"Glen Scotia, Murray McDavid b.2009One of 960 Bottles",17,1992,46.00%,700,54 €December 2012
"Glen Scotia, Murray McDavid b.2005One of 3500 Bottles",14,1991,46.00%,700,64 €November 2018
"Glen Scotia, Murray McDavidMission Wooden Box b.2003One of 498 Bottles",28,1975,46.00%,700,198 €June 2019
"Glen Scotia, Murray McDavid b.2009One of 2500 Bottles",17,1992,46.00%,700,97 €September 2014
"Glen Scotia, Original Bottling",10,,46.00%,700,80 €June 2019
"Glen Scotia, Original BottlingSingle Cask b.2017One of 147 Bottles (Cask 3)",17,2000,55.70%,700,105 €June 2019
"Glen Scotia, Original BottlingPure Malt",12,,43.00%,750,90 €October 2017
"Glen Scotia, Original BottlingHMS Scotia",12,,40.00%,700,76 €January 2019
"Glen Scotia, Original Bottling",10,,68.00%,700,39 €September 2016
"Glen Scotia, Original Bottling",15,,46.00%,700,51 €April 2019
"Glen Scotia, Original BottlingSingle Cask b.2018One of 294 Bottles (Cask 416)",10,2008,56.30%,700,85 €June 2019
"Glen Scotia, Original BottlingSingle Cask b.2017(Cask 265)",17,2000,58.30%,700,152 €March 2019
"Glen Scotia, Original Bottling",21,,68.00%,700,95 €November 2016
"Glen Scotia, Original BottlingSingle Cask b.2018One of 100 Bottles (Cask 283)",8,2010,58.90%,700,63 €May 2019
"Glen Scotia, Original Bottling",12,,46.00%,700,45 €June 2019
"Glen Scotia, Original BottlingSingle Cask b.2017One of 239 Bottles (Cask 214)",8,2009,60.20%,700,50 €January 2019
"Glen Scotia, Original BottlingLegends of Scotia",10,,50.00%,700,51 €June 2019
"Glen Scotia, Original BottlingVictoriana Exceptionally Rare",,,68.00%,700,74 €September 2017
"Glen Scotia, Original Bottling b.2006One of 330 Bottles (Cask 518)",7,1999,45.00%,700,95 €May 2019
"Glen Scotia, Original BottlingPure Malt",8,,68.00%,750,63 €June 2017
"Glen Scotia, Original BottlingDouble Cask",,,46.00%,700,48 €February 2019
"Glen Scotia, Original BottlingSingle Cask b.2017One of 204 Bottles (Cask 857)",26,1991,56.50%,700,167 €March 2019
"Glen Scotia, Original Bottling",12,,68.00%,700,71 €May 2017
"Glen Scotia, Original Bottling",18,,46.00%,700,73 €February 2019
"Glen Scotia, Original BottlingDistillery Edition b.2016One of 210 Bottles (Cask 67)",10,2006,57.20%,700,54 €June 2019
"Glen Scotia, Original Bottling",18,,68.00%,700,112 €July 2017
"Glen Scotia, Original Bottling b.2017One of 276 Bottles",11,2006,55.70%,700,80 €January 2019
"Glen Scotia, Original BottlingDuty Paid Sample b.2017(Cask 316)",28,1989,56.30%,200,80 €August 2018
"Glen Scotia, Original Bottling",14,,40.00%,700,92 €June 2019
"Glen Scotia, Original Bottling",16,,46.00%,700,81 €February 2018
"Glen Scotia, Original BottlingDistillery Edition 2015One of 543 Bottles (Cask 332/543)",12,2015,68.00%,700,109 €August 2016
"Glen Scotia, Original Bottling",15,,68.00%,700,87 €July 2017
"Glen Scotia, Original Bottling",16,,46.00%,1000,51 €March 2019
"Glen Scotia, Original BottlingMashman´s Reserve b.2017One of 189 Bottles (Cask 626)",16,2001,58.20%,700,94 €November 2018
"Glen Scotia, Original BottlingLimited Edition b.2018One of 1200 Bottles",18,2000,46.00%,700,69 €June 2019
"Glen Scotia, Original Bottling b.1996",23,1973,40.00%,700,209 €May 2019
"Glen Scotia, Original Bottling",16,,68.00%,700,113 €June 2017
"Glen Scotia, Original BottlingSingle Cask b.2011One of 320 Bottles (Cask 87)",11,2000,45.00%,700,56 €November 2017
"Glen Scotia, Original BottlingSingle Cask b.2007One of 360 Bottles (Cask 511)",8,1999,68.00%,700,82 €November 2016
"Glen Scotia, Original Bottling2017 Release b.2017",25,,48.80%,700,187 €May 2019
"Glen Scotia, Original BottlingPeated",10,,46.00%,700,30 €March 2019
"Glen Scotia, Original BottlingSingle CaskOne of 410 Bottles (Cask 404)",,2001,45.00%,700,44 €January 2015
"Glen Scotia, Original BottlingSingle Cask b.2011One of 410 Bottles (Cask 164)",9,2002,45.00%,700,56 €October 2016
"Glen Scotia, Original BottlingSingle Cask b.2011One of 370 Bottles (Cask 225)",4,2007,45.00%,700,173 €June 2019
"Glen Scotia, Original Bottling b.2017One of 234 Bottles (Cask 425)",9,2008,56.70%,700,73 €June 2019
"Glen Scotia, Original BottlingSingle Cask b.2018One of 207 Bottles (Cask 98)",12,2006,57.90%,700,73 €May 2019
"Glen Scotia, Original BottlingLimited Edition b.2016One of 240 Bottles",24,1992,68.00%,700,97 €April 2017
"Glen Scotia, Original BottlingSingle Cask b.2011One of 330 Bottles (Cask 627)",10,2001,45.00%,700,62 €November 2017
"Glen Scotia, Original BottlingSingle Cask b.2006One of 330 Bottles (Cask 525)",7,1999,68.00%,700,76 €November 2016
"Glen Scotia, Original BottlingDistillery Edition 2015 b.2015(Cask 196)",12,,56.10%,700,95 €May 2019
"Glen Scotia, Original Bottling",14,,50.00%,700,57 €April 2019
"Glen Scotia, Original BottlingSingle Cask b.2017One of 236 Bottles (Cask 172)",8,2009,56.90%,700,77 €June 2019
"Glen Scotia, Original BottlingVictoriana",,,51.50%,700,52 €May 2019
"Glen Scotia, Original Bottling",21,,46.00%,700,185 €June 2019
"Glen Scotia, Original Bottling b.2007One of 345 Bottles (Cask 78)",8,1999,45.00%,700,63 €May 2019
"Glen Scotia, Original Bottling",12,,40.00%,700,51 €March 2019
"Glen Scotia, Original Bottling (1960s)",5,,40.00%,750,466 €June 2019
"Glen Scotia, Original Bottling (1960s)",8,,46.00%,750,1328 €May 2018
"Glen Scotia, Original Bottling (1970s)",5,,40.00%,750,215 €May 2019
"Glen Scotia, Original Bottling (1970s)",5,,40.00%,700,170 €May 2018
"Glen Scotia, Original BottlingCask Strength (1980s)",12,,54.00%,750,172 €March 2019
"Glen Scotia, Original Bottling (1980s)",8,,40.00%,750,76 €April 2019
