name,age,vintage,vol,ml,price
"Aberfeldy, CadenheadSmall Batch b.2016One of 528 Bottles",19,1997,55.30%,700,61 €April 2019
"Aberfeldy, Cadenhead b.2014One of 618 Bottles",17,1997,46.00%,700,90 €May 2017
"Aberfeldy, Cadenhead b.2013One of 618 Bottles",17,1996,46.00%,700,58 €April 2017
"Aberfeldy, Cadenhead b.1995",17,1978,57.90%,700,169 €February 2017
"Aberfeldy, CadenheadChairman´s Stock b.2001One of 234 Bottles",26,1975,57.00%,700,296 €June 2019
"Aberfeldy, CadenheadAuthentic Collection b.2017One of 270 Bottles",21,1996,54.60%,700,71 €April 2018
"Aberfeldy, CadenheadCampbeltown Malt (Festival 2018) b.2018",22,1996,52.20%,700,97 €October 2018
"Aberfeldy, Creative Whisky Company b.2010One of 215 Bottles (Cask 2804)",27,1983,43.40%,700,142 €March 2019
"Aberfeldy, Daily DramThe Nectar of the Daily Drams b.2010",27,1983,50.00%,700,155 €March 2019
"Aberfeldy, Dewar Rattray b.2009One of 290 Bottles (Cask 4007)",15,1994,57.30%,700,71 €January 2019
"Aberfeldy, Direct WinesFirst Cask b.2012One of 10 Bottles (Cask 5604)",19,1993,46.00%,700,97 €April 2017
"Aberfeldy, Direct WinesFirst Cask b.2012(Cask 5603)",19,1993,46.00%,700,68 €July 2018
"Aberfeldy, Douglas LaingThe Old Malt Cask b.1999One of 291 Bottles",21,1978,50.00%,700,229 €December 2018
"Aberfeldy, Douglas LaingThe Old Malt Cask b.2000One of 444 Bottles",26,1974,50.00%,700,143 €January 2019
"Aberfeldy, Douglas McGibbonMcGibbon´s Provenance b.2001",10,1991,43.00%,700,43 €July 2018
"Aberfeldy, Douglas Of Drumlanrig b.2005",12,1993,49.00%,700,31 €November 2011
"Aberfeldy, Gall & Gall b.2011One of 261 Bottles",13,1998,57.60%,700,45 €January 2014
"Aberfeldy, Gordon & MacPhailConnoisseurs Choice b.1998",20,1978,40.00%,700,117 €April 2017
"Aberfeldy, Gordon & MacPhailConnoisseurs Choice",,1977,40.00%,700,150 €February 2017
"Aberfeldy, Gordon & MacPhailConnoisseurs Choice b.2016",17,1999,46.00%,700,68 €June 2019
"Aberfeldy, Gordon & MacPhailConnoisseurs Choice b.2004",16,1988,43.00%,700,70 €March 2016
"Aberfeldy, Gordon & MacPhailConnoisseurs Choice b.2018One of 444 Bottles (Cask 18/031)",25,1993,58.80%,700,250 €March 2019
"Aberfeldy, Gordon & MacPhailConnoisseurs Choice b.1985",16,1969,40.00%,750,411 €March 2019
"Aberfeldy, Gordon & MacPhailConnoisseurs Choice b.2010",20,1990,43.00%,700,53 €August 2018
"Aberfeldy, Gordon & MacPhailConnoisseurs Choice b.1993",18,1975,40.00%,700,123 €June 2019
"Aberfeldy, Gordon & MacPhailConnoisseurs Choice b.2011",21,1990,43.00%,700,61 €September 2017
"Aberfeldy, Gordon & MacPhailConnoisseurs Choice b.1997",20,1977,40.00%,700,161 €July 2017
"Aberfeldy, Gordon & MacPhailConnoisseurs Choice b.1982",16,1966,40.00%,750,445 €October 2018
"Aberfeldy, Gordon & MacPhailConnoisseurs Choice b.2013",17,1996,46.00%,700,95 €February 2019
"Aberfeldy, Gordon & MacPhailCask Strength b.2014(Cask 2488)",19,1995,55.80%,700,81 €November 2018
"Aberfeldy, Gordon & MacPhailConnoisseurs Choice b.1986",16,1970,40.00%,750,369 €September 2018
"Aberfeldy, Gordon & MacPhailConnoisseurs Choice b.1987",17,1970,40.00%,750,359 €June 2019
"Aberfeldy, Gordon & MacPhailConnoisseurs Choice b.2007",18,1989,43.00%,700,94 €November 2018
"Aberfeldy, Gordon & MacPhailConnoisseurs Choice b.2000",22,1978,40.00%,700,117 €October 2017
"Aberfeldy, Gordon & MacPhailConnoisseurs Choice b.2009",19,1990,43.00%,700,65 €July 2016
"Aberfeldy, Gordon & MacPhailConnoisseurs Choice b.1983",17,1966,40.00%,750,240 €November 2011
"Aberfeldy, Gordon & MacPhailConnoisseurs Choice b.1994",19,1975,40.00%,700,161 €November 2017
"Aberfeldy, Gordon & MacPhailConnoisseurs Choice",,1974,40.00%,750,228 €May 2019
"Aberfeldy, Gordon & MacPhailConnoisseurs Choice b.2015",16,1999,46.00%,700,50 €July 2018
"Aberfeldy, Jumping Jack ProductionsThe Cross Hill b.2006One of 146 Bottles",31,1975,56.20%,700,216 €October 2012
"Aberfeldy, Malts of Scotland b.2018One of 321 Bottles (Cask 18029)",18,2000,50.70%,700,106 €June 2019
"Aberfeldy, Original Bottling",18,,40.00%,1000,80 €June 2019
"Aberfeldy, Original Bottling",12,,40.00%,700,30 €March 2019
"Aberfeldy, Original BottlingSingle Cask b.2013(Cask 6814)",17,1996,61.50%,700,124 €January 2018
"Aberfeldy, Original Bottling(Batch 2905)",12,,40.00%,750,37 €December 2017
"Aberfeldy, Original BottlingMadeira Finish",16,,40.00%,1000,62 €June 2019
"Aberfeldy, Original Bottling",12,,40.00%,750,35 €March 2019
