name,age,vintage,vol,ml,price
"Abhainn Dearg, Original Bottling1st Bottling Wooden Box b.2011One of 2011 Bottles",3,2008,46.00%,500,127 €June 2019
"Abhainn Dearg, Original BottlingSpirit of Lewis Wooden BoxOne of 1000 Bottles (Cask 32010)",,2010,40.00%,500,93 €June 2019
"Abhainn Dearg, Original BottlingSpirit of Lewis(Cask 102010)",,2010,40.00%,500,51 €April 2019
"Abhainn Dearg, Original BottlingSingle Cask Bottling",,,46.00%,500,94 €May 2019
"Abhainn Dearg, Original BottlingSpirit of Lewis (Sample Style Bottle)(Cask 32010)",,2010,40.00%,500,44 €October 2018
"Arran, AdelphiLimited Selection b.2015One of 286 Bottles (Cask 767)",14,2001,54.10%,700,135 €November 2016
"Arran, Alambic ClassiqueThe Collection b.2017One of 239 Bottles (Cask 17307)",21,1996,50.60%,700,116 €June 2019
"Arran, Alambic Classique b.2016One of 170 Bottles",20,1996,52.50%,700,99 €July 2018
"Arran, Anam na h-AlbaThe Soul of Scotland b.2015One of 200 Bottles (Cask 96/1002)",19,1996,55.00%,700,91 €March 2019
"Arran, Art of Whisky b.2005",10,1995,56.20%,700,115 €October 2014
"Arran, Berry Bros & Rudd b.2013(Cask 5)",16,1997,56.90%,700,69 €May 2018
"Arran, Berry Bros & Rudd b.2013",16,1997,46.00%,700,95 €May 2018
"Arran, BlackadderRaw Cask b.2002One of 342 Bottles (Cask 46)",6,1996,56.80%,700,75 €June 2017
"Arran, Blackadder b.2000One of 401 Bottles (Cask 22525)",4,1996,57.60%,700,74 €June 2019
"Arran, BlackadderRaw Cask b.2000(Cask 22525)",4,1996,57.60%,700,135 €May 2014
"Arran, BlackadderSingle Cask b.2001One of 299 Bottles (Cask 96040)",5,1996,56.70%,750,107 €April 2018
"Arran, Blackadder b.2001One of 350 Bottles (Cask 96041)",5,1996,57.40%,700,60 €November 2012
"Arran, Bonner Pfeifen- & Cigarrenhaus b.2016",20,1996,50.00%,350,61 €December 2018
"Arran, CadenheadAuthentic Collection b.2007One of 330 Bottles",11,1996,56.00%,700,42 €October 2011
"Arran, CadenheadAuthentic Collection b.2014One of 216 Bottles",16,1998,54.80%,700,75 €March 2016
"Arran, Cadenhead b.2016One of 270 Bottles",21,1995,49.50%,700,139 €April 2019
"Arran, CadenheadAuthentic Collection b.2011One of 264 Bottles",15,1996,56.90%,700,62 €March 2018
"Arran, CadenheadAuthentic Collection b.2007One of 335 Bottles",11,1996,56.50%,700,77 €January 2016
"Arran, CadenheadAuthentic Collection b.2005One of 348 Bottles",10,1995,53.60%,700,52 €August 2014
"Arran, Cadenhead b.2014One of 192 Bottles",18,1996,50.90%,700,105 €June 2019
"Arran, CadenheadSmall Batch b.2013One of 792 Bottles",16,1997,46.00%,700,63 €May 2019
"Arran, CadenheadSmall Batch b.2016One of 486 Bottles",19,1997,52.40%,700,75 €December 2018
"Arran, CadenheadAuthentic Collection b.2009One of 242 Bottles",13,1996,55.20%,700,98 €October 2018
"Arran, Cadenhead b.2015One of 258 Bottles",19,1996,54.00%,700,107 €February 2019
"Arran, CadenheadSingle Cask b.2015One of 438 Bottles",19,1996,53.30%,700,82 €May 2019
"Arran, CadenheadCask Ends b.2016",20,1996,44.70%,700,123 €September 2017
"Arran, ClydesdaleMalt Scotch Whisky b.2006One of 484 Bottles (Cask 0236/07006)",10,1996,55.50%,700,62 €May 2019
"Arran, ClydesdaleSingle Cask b.2001One of 180 Bottles (Cask 96/014)",5,1996,57.40%,700,147 €January 2016
"Arran, Creative Whisky CompanySmile of Arran Trust b.2018",8,2010,48.00%,700,57 €April 2019
"Arran, Creative Whisky CompanyExclusive Malts b.2012One of 306 Bottles (Cask 1481)",16,1996,51.80%,700,98 €December 2018
"Arran, Creative Whisky CompanyExclusive Malts b.2009One of 329 Bottles (Cask 1046)",13,1996,53.90%,700,85 €February 2016
"Arran, Creative Whisky CompanyExclusive Malts b.2005One of 345 Bottles (Cask 941)",9,1996,50.60%,700,89 €January 2016
"Arran, Creative Whisky CompanyExclusive Range b.2010One of 341 Bottles (Cask 363)",15,1995,45.80%,700,81 €July 2018
"Arran, Dewar RattraySelection b.2016One of 309 Bottles (Cask 4)",5,2011,57.30%,700,51 €March 2019
"Arran, Dewar Rattray b.2016One of 329 Bottles (Cask 5)",5,2011,58.50%,700,76 €February 2019
"Arran, Dewar Rattray b.2008One of 723 Bottles (Cask 96)",12,1996,55.70%,700,106 €January 2019
"Arran, Direct WinesFirst Cask b.2013One of 276 Bottles (Cask 262)",12,2001,52.30%,700,127 €June 2018
"Arran, Douglas LaingThe Old Malt Cask b.2011One of 341 Bottles",15,1996,53.70%,700,70 €March 2013
"Arran, Douglas LaingOld Particular b.2017One of 136 Bottles (Cask dl11608)",20,1997,44.40%,700,117 €June 2019
"Arran, Douglas LaingOld Particular b.2016One of 286 Bottles",19,1997,51.50%,700,81 €December 2017
"Arran, Douglas LaingPremier Barrel Decanter",10,,46.00%,700,135 €September 2018
"Arran, Douglas LaingThe Old Malt Cask b.2008(Cask 4802)",12,1996,50.00%,700,68 €July 2018
"Arran, Douglas LaingOld Particular b.2013One of 318 Bottles (Cask dl9833)",17,1996,48.40%,700,78 €April 2017
"Arran, Douglas LaingOld Particular b.2017One of 544 Bottles (Cask 12357)",21,1996,52.00%,700,96 €June 2019
"Arran, Douglas LaingOld Particular b.2016One of 287 Bottles (Cask 11345)",20,1996,51.50%,700,129 €August 2018
"Arran, Douglas LaingThe Old Malt Cask b.2006One of 355 Bottles",11,1995,50.00%,700,49 €June 2011
"Arran, Douglas McGibbonMcGibbon´s Provenance b.2003",8,1995,46.00%,700,65 €November 2015
"Arran, Douglas McGibbonMcGibbon´s Provenance b.2009",12,1997,46.00%,700,90 €June 2013
"Arran, Douglas McGibbonMcGibbon´s Provenance b.2004",7,1997,46.00%,700,56 €July 2017
"Arran, Douglas Of Drumlanrig b.2008One of 404 Bottles (Cask 4826)",12,1996,46.00%,700,68 €July 2018
"Arran, Duncan TaylorOctave b.2011One of 67 Bottles (Cask 814172)",15,1996,54.70%,700,137 €March 2018
"Arran, Duncan TaylorThe NC2 Range b.2006",10,1996,46.00%,700,114 €April 2015
"Arran, Duncan Taylor b.2011One of 83 Bottles (Cask c811773)",12,1999,46.00%,700,83 €January 2016
"Arran, Duncan Taylor b.2008One of 288 Bottles (Cask 825)",12,1996,54.10%,700,87 €January 2019
"Arran, Duncan TaylorThe NC2 Range b.2010",11,1999,46.00%,700,105 €October 2014
"Arran, Duncan Taylor b.2010(Cask 811552)",14,1996,55.30%,700,70 €November 2016
"Arran, Elixir Distillers10th AnniversaryOne of 217 Bottles",21,,50.20%,700,141 €March 2019
"Arran, Gleann Mór b.2015",19,1996,48.80%,700,113 €April 2018
"Arran, Gordon & MacPhailConnoisseurs Choice b.2017",8,2009,46.00%,700,38 €April 2019
"Arran, Gordon & MacPhailConnoisseurs Choice b.2014",8,2006,46.00%,700,43 €July 2018
"Arran, Gordon & MacPhailConnoisseurs Choice b.2007",9,1998,43.00%,700,50 €June 2014
"Arran, Gordon & MacPhailConnoisseurs Choice b.2013",13,2000,46.00%,700,50 €November 2018
"Arran, Gordon & MacPhailConnoisseurs Choice b.2018One of 283 Bottles",22,1996,49.20%,700,177 €May 2019
"Arran, Grey Wolf b.2017One of 334 Bottles (Cask 82)",21,1996,50.70%,700,149 €January 2019
"Arran, Hart Brothers b.2010",14,1996,46.00%,700,114 €November 2016
"Arran, Hart Brothers b.2012",16,1996,46.00%,700,68 €June 2019
"Arran, Helen ArthurSingle Cask Whisky b.2015(Cask 170)",18,1997,58.80%,700,108 €May 2018
"Arran, High Spirits' Collection b.2005One of 361 Bottles (Cask 1425)",9,1996,46.00%,700,139 €February 2019
"Arran, Highland Laird b.2016One of 520 Bottles (Cask 1337)",20,1996,51.30%,700,114 €May 2019
"Arran, Hunter LaingThe Old Malt Cask b.2015One of 257 Bottles (Cask hl11595)",18,1997,50.00%,700,63 €February 2019
"Arran, Hunter LaingThe Old Malt Cask b.2014One of 347 Bottles (Cask 10439)",18,1996,50.00%,700,90 €May 2017
"Arran, Hunter LaingThe Old Malt Cask b.2014One of 330 Bottles (Cask 9901)",16,1998,50.00%,700,62 €October 2017
"Arran, Hunter LaingThe Old Malt Cask (20th Anniversary) b.2018One of 636 Bottles",21,1997,50.00%,700,111 €June 2019
"Arran, Isle of Arran Distillers Ltd.First Distillation",,1995,46.00%,700,85 €December 2013
"Arran, J & A Mitchell & CoLV 13",,,40.00%,700,108 €November 2016
"Arran, Jack Wiebers Whisky WorldOld Train Line b.2014One of 305 Bottles (Cask 2308)",18,1996,48.90%,700,185 €January 2019
"Arran, Jack Wiebers Whisky WorldOld Train Line Wooden Box b.2016One of 288 Bottles (Cask 907)",20,1996,54.60%,700,160 €March 2018
