name,age,vintage,vol,ml,price
"Ardbeg, Acorn b.2001",10,1991,59.90%,700,121 €July 2017
"Ardbeg, AcornNatural Malt Selection b.2004",13,1991,55.10%,700,193 €February 2018
"Ardbeg, Adelphi b.1996(Cask 272)",18,1978,66.60%,700,974 €January 2016
"Ardbeg, AdelphiLimited Selection b.1989One of 193 Bottles (Cask 1979)",10,1979,58.80%,700,182 €January 2018
"Ardbeg, Adelphi b.1996(Cask 21)",17,1979,55.40%,700,444 €April 2014
"Ardbeg, Adelphi b.2009One of 212 Bottles (Cask 1980)",11,1998,58.00%,700,156 €November 2018
"Ardbeg, AdelphiLimited Selection b.1992One of 185 Bottles (Cask 1981)",11,1981,57.90%,700,138 €November 2016
"Ardbeg, Adelphi b.2008One of 274 Bottles (Cask 626)",9,1999,58.50%,700,231 €March 2019
"Ardbeg, Angelshare b.2004One of 105 Bottles",12,1992,46.00%,700,115 €May 2017
"Ardbeg, CadenheadAuthentic Collection b.2010One of 270 Bottles",16,1994,57.00%,700,153 €July 2017
"Ardbeg, CadenheadAuthentic Collection b.2013One of 186 Bottles",20,1993,55.90%,700,258 €August 2018
"Ardbeg, Cadenhead Miniature",14,,45.71%,50,44 €March 2018
"Ardbeg, CadenheadAuthentic Collection b.2007One of 348 Bottles",13,1994,59.70%,700,165 €June 2019
"Ardbeg, Cadenhead",17,,46.00%,750,1715 €December 2018
"Ardbeg, CadenheadAuthentic Collection b.2004One of 270 Bottles",11,1993,57.40%,700,150 €December 2016
"Ardbeg, Cadenhead Wooden Box b.1995",20,1975,51.00%,700,482 €December 2013
"Ardbeg, Cadenhead b.1990",15,1975,46.00%,750,1760 €December 2018
"Ardbeg, CadenheadAuthentic Collection b.2011One of 306 Bottles",17,1994,55.70%,700,156 €May 2019
"Ardbeg, CadenheadBourbon Wood b.2007One of 288 Bottles",14,1993,46.00%,700,121 €March 2019
"Ardbeg, Cadenhead b.1990One of 20 Bottles",25,1965,54.40%,750,4009 €July 2018
"Ardbeg, CadenheadAuthentic Collection b.2009One of 284 Bottles",15,1994,58.10%,700,131 €July 2016
"Ardbeg, CadenheadAuthentic Collection b.2007One of 318 Bottles",13,1994,58.40%,700,153 €September 2017
"Ardbeg, CadenheadAuthentic Collection b.2003One of 282 Bottles",10,1993,58.60%,700,183 €October 2015
"Ardbeg, Cadenhead b.2006One of 330 Bottles",12,1994,46.00%,700,127 €May 2016
"Ardbeg, CadenheadAuthentic Collection b.2006One of 300 Bottles",13,1993,58.00%,700,187 €December 2017
"Ardbeg, Cadenhead b.2007One of 207 Bottles",14,1993,46.00%,700,126 €August 2018
"Ardbeg, CadenheadBond Reserve",10,,58.60%,700,211 €November 2015
"Ardbeg, CadenheadAuthentic Collection b.2012One of 312 Bottles",19,1993,57.90%,700,192 €February 2019
"Ardbeg, CadenheadAuthentic Collection b.2014One of 210 Bottles",21,1993,53.20%,700,275 €April 2019
"Ardbeg, Cadenhead(Cask 77/74)",,1975,55.80%,700,3851 €July 2017
"Ardbeg, CadenheadDuthiesOne of 1110 Bottles",16,,46.00%,700,130 €December 2017
"Ardbeg, CadenheadAuthentic Collection b.2009One of 268 Bottles",15,1994,56.00%,700,155 €December 2018
"Ardbeg, CadenheadAuthentic Collection b.2003One of 276 Bottles",10,1993,58.80%,700,125 €January 2014
"Ardbeg, CadenheadAuthentic Collection b.2004One of 312 Bottles",11,1993,59.50%,700,111 €January 2019
"Ardbeg, Cadenhead b.1984",25,1959,46.00%,750,2515 €February 2012
"Ardbeg, Cadenhead b.2006One of 396 Bottles",12,1994,46.00%,700,127 €September 2018
"Ardbeg, CadenheadAuthentic Collection b.2005One of 318 Bottles",12,1993,59.30%,700,107 €July 2013
"Ardbeg, CadenheadAuthentic Collection b.2003One of 252 Bottles",10,1993,57.30%,700,112 €January 2019
"Ardbeg, CadenheadAuthentic Collection b.2008One of 250 Bottles",17,1991,54.50%,700,290 €January 2018
"Ardbeg, Cadenhead b.2005One of 426 Bottles",11,1994,46.00%,700,106 €September 2017
"Ardbeg, CadenheadAuthentic Collection b.2003One of 294 Bottles",10,1993,59.80%,700,120 €January 2014
"Ardbeg, CadenheadAuthentic Collection b.2012One of 132 Bottles",21,1991,52.60%,700,253 €May 2019
"Ardbeg, Cadenhead b.2016",23,1993,52.40%,700,908 €November 2018
"Ardbeg, CadenheadAuthentic Collection b.2005One of 288 Bottles",12,1993,58.20%,700,182 €April 2019
"Ardbeg, Cadenhead b.1998One of 150 Bottles",32,1966,42.80%,700,1361 €February 2017
"Ardbeg, CadenheadAuthentic Collection b.2017One of 138 Bottles",24,1993,54.60%,700,354 €May 2019
"Ardbeg, CadenheadCask Strength b.2002One of 306 Bottles",11,1991,62.20%,700,330 €September 2017
"Ardbeg, CadenheadAuthentic Collection b.1996",21,1975,48.90%,700,635 €December 2016
"Ardbeg, Cadenhead b.1997",19,1978,51.40%,700,560 €October 2017
"Ardbeg, CadenheadAuthentic Collection b.2009One of 273 Bottles",15,1994,56.00%,700,171 €May 2019
"Ardbeg, CadenheadAuthentic Collection b.1994",19,1975,58.10%,700,960 €August 2018
"Ardbeg, Cadenhead b.1989",24,1965,54.40%,750,3005 €January 2019
"Ardbeg, CadenheadAuthentic Collection b.2018One of 216 Bottles",25,1993,51.60%,700,344 €April 2019
"Ardbeg, CadenheadBond Reserve b.2008One of 254 Bottles",15,1993,57.00%,700,227 €December 2018
"Ardbeg, CadenheadAuthentic Collection b.2011One of 294 Bottles",17,1994,56.80%,700,185 €June 2019
"Ardbeg, CadenheadAuthentic Collection b.2006One of 246 Bottles",13,1993,61.10%,700,195 €January 2019
"Ardbeg, CadenheadAuthentic Collection b.2008One of 260 Bottles",17,1991,56.30%,700,198 €June 2019
"Ardbeg, Cadenhead b.1979",14,1965,45.71%,750,1643 €May 2019
"Ardbeg, CadenheadSingle Cask b.2015One of 228 Bottles",22,1993,55.30%,700,436 €March 2019
"Ardbeg, CadenheadAuthentic Collection b.2010One of 255 Bottles",16,1994,55.60%,700,171 €December 2017
"Ardbeg, Cadenhead b.1994",19,1975,49.70%,750,488 €February 2013
"Ardbeg, CadenheadAuthentic Collection b.2009One of 273 Bottles",15,1994,57.30%,700,106 €December 2012
"Ardbeg, Cadenhead(Cask 1382)",,1975,57.60%,700,4229 €April 2018
"Ardbeg, CadenheadAuthentic Collection b.1991",13,1978,57.80%,700,506 €November 2017
"Ardbeg, Cadenhead b.2016One of 210 Bottles",23,1993,47.70%,700,330 €May 2019
"Ardbeg, Cadenhead b.1998One of 120 Bottles",32,1966,42.60%,700,3090 €December 2018
"Ardbeg, CadenheadAuthentic Collection b.2012One of 132 Bottles",21,1991,44.70%,700,220 €May 2019
"Ardbeg, Creative Whisky CompanyExclusive Malts b.2007One of 390 Bottles",7,2000,55.70%,700,106 €June 2016
"Ardbeg, Dewar Rattray b.2013One of 249 Bottles (Cask 1751)",20,1993,57.20%,700,230 €August 2018
"Ardbeg, Dewar RattrayCask Collection b.2013One of 142 Bottles (Cask 1732)",20,1993,57.10%,700,482 €October 2017
"Ardbeg, Direct WinesFirst Cask b.1993",19,1974,46.00%,700,537 €December 2017
"Ardbeg, Direct WinesFirst Cask b.1993(Cask 4380)",19,1974,46.00%,700,1297 €December 2018
"Ardbeg, Douglas LaingOld & Rare b.2005One of 274 Bottles",30,1975,47.80%,700,1100 €May 2019
"Ardbeg, Douglas LaingOld & Rare b.2010One of 236 Bottles",19,1991,52.10%,700,386 €December 2017
"Ardbeg, Douglas LaingThe Old Malt Cask b.2004One of 363 Bottles",10,1994,50.00%,700,155 €August 2018
"Ardbeg, Douglas LaingThe Old Malt Cask b.2000One of 222 Bottles",28,1972,50.00%,700,1638 €February 2019
"Ardbeg, Douglas LaingThe Old Malt Cask b.2005One of 342 Bottles",10,1995,50.00%,700,111 €August 2018
"Ardbeg, Douglas LaingOld & Rare b.2004One of 145 Bottles",29,1975,58.30%,700,1392 €June 2019
"Ardbeg, Douglas LaingThe Old Malt Cask b.1999One of 392 Bottles",24,1975,50.00%,700,786 €December 2017
"Ardbeg, Douglas LaingThe Old Malt Cask b.2005One of 340 Bottles",14,1991,50.00%,700,150 €December 2018
"Ardbeg, Douglas LaingThe Old Malt Cask b.2006One of 378 Bottles",15,1991,50.00%,700,236 €October 2017
"Ardbeg, Douglas LaingThe Old Malt Cask b.2000One of 363 Bottles",25,1975,50.00%,700,810 €October 2018
