name,age,vintage,vol,ml,price
"Chichibu, Blackadder (Ichiro´s Malt) b.2016One of 289 Bottles (Cask 745)",6,2010,61.40%,700,1251 €March 2019
"Chichibu, Blackadder (Ichiro´s Malt) b.2016One of 311 Bottles (Cask 2630)",6,2010,59.70%,700,803 €December 2018
"Chichibu, La Maison du WhiskyUnpeated Single Cask b.2017(Cask 1292)",6,2011,58.60%,700,1770 €May 2019
"Chichibu, Original BottlingBar Show 2016 b.2016One of 233 Bottles (Cask 233)",5,2011,59.70%,700,426 €May 2018
"Chichibu, Original BottlingDream Cask b.2016One of 193 Bottles (Cask 541)",7,2009,61.80%,700,1296 €June 2019
"Chichibu, Original BottlingThe Peated b.2015One of 5980 Bottles",4,2011,62.50%,700,286 €June 2019
"Chichibu, Original BottlingIchiro´s Malt Cask b.2016One of 270 Bottles (Cask 1402)",5,2011,61.20%,700,1410 €March 2019
"Chichibu, Original BottlingSingle CaskOne of 262 Bottles (Cask 4084)",,,57.40%,700,542 €September 2018
"Chichibu, Original BottlingSingle CaskOne of 306 Bottles (Cask 2593)",,2013,49.70%,700,902 €June 2019
"Chichibu, Original BottlingChibidaru Quarter Cask b.2012One of 164 Bottles (Cask 287)",3,2009,61.80%,700,525 €October 2017
"Chichibu, Original BottlingPeated Single Cask(Cask 2087)",,2012,62.50%,700,1707 €May 2019
"Chichibu, Original BottlingSingle Cask(Cask 641)",,2009,61.70%,700,946 €February 2019
"Chichibu, Original BottlingIchiro´s Malt Cask b.2016One of 306 Bottles",6,2010,59.40%,700,1152 €June 2019
"Chichibu, Original BottlingQuarter Cask b.2014One of 159 Bottles (Cask 388)",5,2009,62.90%,700,1323 €February 2019
"Chichibu, Original BottlingAmerican White Oak 2013(Cask 2688)",,2013,58.00%,700,544 €December 2018
"Chichibu, Original BottlingKen´s Choice b.2017One of 238 Bottles (Cask 1648)",11,2006,54.10%,700,580 €February 2019
"Chichibu, Original BottlingSingle CaskOne of 250 Bottles (Cask 4548)",,2011,57.40%,700,1517 €May 2019
"Chichibu, Original BottlingWarrior Series b.2017(Cask 2369)",8,2009,61.90%,700,2593 €June 2019
"Chichibu, Original BottlingSingle CaskOne of 185 Bottles (Cask 5036)",,2011,59.10%,700,1128 €June 2019
"Chichibu, Original Bottling b.2011",3,2008,61.80%,700,182 €January 2014
"Chichibu, Original BottlingSingle Cask  b.2015One of 213 Bottles (Cask 198)",7,2008,62.00%,700,756 €February 2019
"Chichibu, Original BottlingNewborn Double Matured b.2009One of 355 Bottles (Cask 446)",1,2008,61.00%,700,504 €May 2018
"Chichibu, Original BottlingWhisky Talk 2015 b.2015One of 593 Bottles",5,2010,60.80%,700,1422 €May 2019
"Chichibu, Original BottlingIchiro´s Malt Cask b.2015One of 380 Bottles (Cask 702)",5,2010,52.30%,700,1201 €May 2019
"Chichibu, Original BottlingPeated Single Cask b.2017(Cask 2088)",5,2012,63.20%,700,1142 €June 2019
"Chichibu, Original BottlingPeated(Cask 2070)",,2012,62.90%,700,1517 €May 2019
"Chichibu, Original BottlingFrench Oak(Cask 2357)",,2009,63.10%,700,865 €December 2018
"Chichibu, Original Bottling60th Anniversary b.2016(Cask 1401)",5,2011,61.30%,700,1254 €March 2019
"Chichibu, Original BottlingSingle Cask  b.2012(Cask 1387)",3,2009,61.00%,700,1071 €February 2019
"Chichibu, Original BottlingSingle Cask b.2016(Cask 633)",7,2009,61.40%,700,1339 €April 2019
"Chichibu, Original BottlingSingle Cask  b.2018One of 188 Bottles (Cask 711)",8,2010,61.30%,700,3361 €June 2019
"Chichibu, Original BottlingIchiro´s Malt CaskOne of 209 Bottles (Cask 1883)",,2012,55.70%,700,895 €September 2018
"Chichibu, Original BottlingSingle Cask b.2016(Cask 635)",7,2009,62.10%,700,745 €January 2019
"Chichibu, Original BottlingSingle Cask b.2014(Cask 3292)",3,2011,57.60%,700,2284 €June 2019
"Chichibu, Original BottlingSingle CaskOne of 216 Bottles (Cask 1179)",,2011,59.70%,700,1007 €June 2019
"Chichibu, Original BottlingOn The Way (2013 Release) b.2013One of 9900 Bottles",,,58.50%,700,329 €May 2019
"Chichibu, Original BottlingThe Floor Malted (2015 Release) b.2015",6,2009,58.50%,750,284 €May 2019
"Chichibu, Original BottlingTravel Exclusive (2018 Release) b.2018One of 610 Bottles",,,60.60%,700,690 €June 2019
"Chichibu, Original BottlingSingle Cask (Bottled for La Maison du Whisky) b.2014(Cask 651)",4,2010,61.60%,700,978 €February 2019
"Chichibu, Original BottlingSingle Cask (Fantasista Utamaro)One of 216 Bottles (Cask 1296)",,2011,58.80%,700,1265 €May 2019
