name,age,vintage,vol,ml,price
"Abraham Bowman, Original BottlingPioneer Spirit b.2015",11,2004,50.00%,375,162 €June 2019
"John J. Bowman, Original BottlingBarrel Selection No.7",14,,50.00%,750,64 €January 2016
"Bowman Brothers, Original BottlingSmall Batch",,,45.00%,750,49 €June 2019
"Abraham Bowman, Original BottlingDouble Barrel b.2014",7,2006,50.00%,750,91 €March 2019
"Barton, Ian MacleodTwo Bobs Wooden Box b.2007One of 228 Bottles (Cask 65)",13,1994,63.60%,700,180 €October 2016
"Barton, Original BottlingReserve",,,51.43%,757,58 €September 2017
"Kentucky Gentleman, Original Bottling",4,,43.00%,1890,136 €August 2017
"Barton, Original Bottling1792 Full Proof",,,71.43%,750,77 €April 2018
"Tom Moore, Original Bottling",,,40.00%,700,12 €April 2019
"Barton, Original Bottling1792 Bottled in Bond",,,50.00%,750,63 €May 2019
"Barton, Original Bottling1792 Ridgemont Reserve",8,,46.85%,750,124 €August 2018
"Kentucky Gentleman, Original Bottling",,,49.14%,750,103 €May 2018
"Barton, Original Bottling1792 Small Batch",,,46.85%,750,38 €June 2019
"Barton, Original BottlingVery Old",8,,43.00%,750,198 €June 2019
"Kentucky Gentleman, Original Bottling",4,,51.00%,750,58 €March 2019
"Barton, Original BottlingVery Old",,,43.00%,750,149 €July 2018
"Barton, Original Bottling1792 Full Proof(Cask 23)",8,,62.50%,750,91 €April 2019
"Barton, Original Bottling",12,,43.00%,750,142 €April 2019
"Barton, Original Bottling1792 Single Barrel",,,49.30%,750,45 €March 2019
"Kentucky Gentleman, Original Bottling",,,40.00%,700,31 €April 2019
"Kentucky Gentleman, Original Bottling",20,,50.50%,750,593 €April 2019
"Barton, Original BottlingQt Premium",,,43.00%,750,43 €April 2018
"Sunny Brook, Original Bottling",4,,43.00%,750,53 €May 2018
"Barton, Original BottlingVery Old",12,,40.00%,750,77 €November 2018
"Barton, Original BottlingReserve",,,43.00%,750,41 €November 2018
"Kentucky Gentleman, Original Bottling",4,,43.00%,750,38 €November 2014
"Kentucky Gentleman, Original Bottling",,,51.00%,700,58 €March 2019
"Sunny Brook, Original Bottling",4,,43.00%,700,127 €January 2019
"Kentucky Gentleman, Original Bottling",4,,40.00%,750,31 €November 2017
"Barton, Original Bottling1792",,,47.15%,750,83 €March 2019
"Kentucky Gentleman, Original Bottling100 Proof",,,57.14%,750,105 €August 2017
"Barton, Original Bottling1792 Full Proof",,,62.50%,750,60 €June 2019
"Kentucky Gentleman, Original Bottling",4,,43.00%,940,67 €December 2018
"Tom Moore, Original Bottling",4,,43.00%,750,62 €January 2016
"Carstairs, Original BottlingWhite Seal",,,40.00%,750,6 €June 2019
"Barton, Original BottlingTwo Bobs Wooden Box b.2007One of 210 Bottles (Cask 64)",13,1994,64.00%,700,216 €September 2017
"Barton, Original BottlingVery Old b.2016",6,,43.00%,1000,49 €August 2018
"Tom Moore, Original Bottling",,,43.00%,750,67 €March 2019
"Barton, Original Bottling1792 Port Finish",,,44.45%,750,136 €August 2018
"Barton, Original BottlingReserve",,,45.00%,757,129 €December 2018
"Kentucky Gentleman, Original Bottling",4,,43.00%,730,87 €March 2019
"Kentucky Gentleman, Original Bottling",,,43.00%,750,63 €June 2019
"Bernheim, Original BottlingFamily EstateOne of 103 Bottles (Cask b49)",22,,66.90%,750,1639 €April 2018
"I.W. Harper, Original BottlingGold Medal",12,,43.00%,750,161 €April 2019
"Rebel Yell, Original BottlingSingle Barrel",10,,50.00%,750,91 €January 2018
"I.W. Harper, Original Bottling",12,,43.00%,1000,152 €October 2018
"Bernheim, Original Bottling",21,,47.00%,750,1169 €May 2019
"I.W. Harper, Original BottlingGold Medal",,,40.00%,700,68 €January 2019
"I.W. Harper, Original BottlingGold Medal",,,43.00%,750,134 €May 2019
"I.W. Harper, Original BottlingGold Medal",15,,40.00%,750,157 €May 2018
"Rebel Yell, Original Bottling",,,40.00%,700,118 €May 2018
"Barterhouse, Original BottlingOrphan Barrel",20,,45.10%,750,229 €June 2019
"Bernheim, Original Bottling",7,,45.00%,700,38 €March 2019
"I.W. Harper, Original Bottling",12,,43.00%,750,177 €June 2019
"I.W. Harper, Original BottlingGold Medal",4,,43.00%,1000,52 €October 2017
"I.W. Harper, Original BottlingPresident´s Reserve",,,43.00%,750,105 €April 2019
"Bernheim, Original BottlingSmall Batch",,,45.00%,750,33 €May 2019
"I.W. Harper, Original BottlingGold Medal",,,43.00%,700,200 €May 2019
"I.W. Harper, Original BottlingBottled in Bond",,,50.00%,750,227 €May 2016
"I.W. Harper, Original BottlingBottled in Bond b.1933",16,1917,50.00%,237,567 €February 2019
"I.W. Harper, Original Bottling",15,,43.00%,750,97 €April 2019
"I.W. Harper, Original Bottling",,,41.00%,750,21 €November 2018
"I.W. Harper, Original BottlingGold Medal",4,,40.00%,750,85 €January 2019
"I.W. Harper, Original BottlingGold Medal",,,40.00%,750,139 €May 2019
"I.W. Harper, Original BottlingGold Medal (Black Label)",10,,43.00%,750,162 €December 2016
"I.W. Harper, Original Bottling (Gold Label)",12,,43.00%,750,192 €January 2016
"I.W. Harper, Original Bottling (Old Style)",12,,43.00%,750,63 €March 2019
"I.W. Harper, Original BottlingGold Medal (Old Style)",,,43.00%,750,408 €April 2019
"Gifted Horse, Orphan Barrel",,,57.50%,750,96 €May 2018
"Old Blowhard, Orphan Barrel",26,,45.35%,750,807 €January 2019
"Bernheim, SchenleyChapter 7 (1960s)",7,,43.00%,750,183 €May 2019
"Old Forester, Original BottlingStatesman",,,54.29%,700,55 €August 2018
"Old Forester, Original Bottling",,,40.00%,700,127 €April 2019
"Old Forester, Original BottlingSingle Barrel",,,45.00%,750,42 €December 2016
"Early Times, Original Bottling",,,40.00%,1000,17 €September 2016
"Early Times, Original Bottling",4,,40.00%,700,75 €March 2019
"Old Forester, Original BottlingBirthday Bourbon b.2003",13,1990,44.50%,750,328 €December 2015
"Old Forester, Original BottlingBirthday Bourbon b.2009",12,1997,47.50%,750,167 €August 2016
"Brown-Forman, Original BottlingBarrel Strength(Cask 15h678)",,,55.20%,700,120 €May 2019
"Forester, Original BottlingBirthday Bourbon b.2011",12,1999,49.00%,750,302 €January 2016
"Brown-Forman, Original BottlingSingle Barrel(Cask l18d548)",10,,46.40%,750,235 €June 2019
"Early Times, Original Bottling",,,40.00%,750,15 €March 2019
"Old Forester, Original BottlingBirthday Bourbon b.2013",12,2001,49.00%,750,335 €January 2019
"Early Times, Original Bottling",4,,43.00%,700,77 €November 2018
"Early Times, Original Bottling",,,43.00%,700,35 €July 2018
"Early Times, Original BottlingPrivate Stock",3,,40.00%,1000,12 €March 2019
"Old Forester, Original BottlingBirthday Bourbon b.2003",13,1990,46.50%,750,805 €October 2018
"Old Forester, Original BottlingBirthday Bourbon b.2002",13,1989,47.50%,750,405 €February 2016
"Old Forester, Original Bottling",,,46.50%,750,64 €March 2019
"Old Forester, Original BottlingBirthday Bourbon b.2017",12,2005,47.70%,750,582 €May 2019
"Brown-Forman, Original BottlingSingle Barrel(Cask 18h1242)",10,,47.20%,750,154 €May 2019
"Early Times, Original Bottling",4,,43.00%,1890,310 €September 2018
"Forester, Original BottlingBirthday Bourbon b.2001",8,1993,48.00%,750,407 €October 2018
"Early Times, Original Bottling",,,50.00%,375,28 €March 2019
"Old Forester, Original BottlingBirthday Bourbon b.2016",12,2004,48.50%,750,391 €February 2019
"Brown-Forman, Original BottlingToasted Barrel Finished(Cask 18h1188)",,,45.70%,750,207 €June 2019
"Old Forester, Original BottlingBirthday Bourbon b.2007",13,1994,47.00%,750,502 €March 2019
"Old Forester, Original BottlingBirthday Bourbon b.2008",13,1995,47.00%,750,177 €June 2015
"Old Forester, Original Bottling",,,43.00%,750,25 €March 2019
"Forester, Original Bottling",,,40.00%,700,70 €April 2019
"Forester, Original BottlingBirthday Bourbon b.2014",12,2002,48.50%,750,305 €March 2019
"Old Forester, Original BottlingBirthday Bourbon b.2003",8,1995,47.00%,750,642 €March 2019
"Old Forester, Original BottlingBirthday Bourbon b.2013",12,2001,49.00%,750,335 €January 2019
"Old Forester, Original BottlingBirthday Bourbon b.2007",13,1994,47.00%,750,502 €March 2019
"Old Forester, Original BottlingBirthday Bourbon b.2002",13,1989,47.50%,750,405 €February 2016
"Brown-Forman, Original BottlingBarrel Strength(Cask 15h678)",,,55.20%,700,120 €May 2019
"Old Forester, Original BottlingStatesman",,,47.50%,700,41 €April 2019
"Early Times, Original Bottling Wooden Box",,,45.20%,750,515 €April 2019
"Early Times, Original Bottling",,,50.00%,375,28 €March 2019
"Early Times, Original Bottling",4,,40.00%,700,75 €March 2019
"Old Forester, Original BottlingProhibition Style",,,57.50%,750,80 €June 2019
"Old Forester, Original BottlingBirthday Bourbon b.2008",13,1995,47.00%,750,177 €June 2015
"Early Times, Original Bottling",,,40.00%,750,15 €March 2019
"Old Forester, Original Bottling",,,43.00%,750,25 €March 2019
"Brown-Forman, Original BottlingSingle Barrel(Cask l18d548)",10,,46.40%,750,235 €June 2019
"Old Forester, Original Bottling (1960s)",,,43.00%,750,116 €April 2019
"Old Forester, Original Bottling (1970s)",,,49.14%,750,169 €June 2018
"Early Times, Original Bottling (1970s)",4,,40.00%,750,87 €January 2019
"Old Forester, Original Bottling (1970s)",,,40.00%,750,169 €June 2018
"Old Forester, Original Bottling (1970s)",4,,43.00%,750,137 €November 2018
"Early Times, Original Bottling (Dark Label)",,,40.00%,1000,12 €January 2019
"Old Forester, Original Bottling (Old Style)",,,43.00%,750,125 €February 2019
"Old Forester, Original Bottling (Old Style)",,,43.00%,700,149 €May 2019
"Old Forester, Original Bottling (Round Decanter) Decanter",,,43.00%,750,333 €June 2019
"Weller, La Maison du WhiskyAntique 107",,,53.50%,1000,122 €May 2019
"Blanton's, Original BottlingSingle Barrel b.2014(Cask 294)",,,50.00%,700,156 €February 2018
"Colonel E.H Taylor, Original Bottling2016 Release b.2016",,,63.75%,750,261 €April 2019
"W.L. Weller, Original Bottling2016 Release b.2016",12,2003,67.70%,750,772 €June 2019
"Sazerac, Original BottlingThomas H. Handy",,,67.40%,750,310 €March 2015
"Hancock's President's Reserve, Original BottlingSingle Barrel",,,44.50%,750,141 €March 2019
"Blanton's, Original BottlingGold Edition b.2018(Cask 1155)",,,51.50%,700,110 €February 2019
"Blanton's, Original BottlingSingle Barrel b.2014(Cask 293)",,,50.00%,700,145 €January 2018
"Blanton's, Original BottlingStraight from the Cask b.2017(Cask 1624)",,,65.15%,700,126 €February 2019
"Buffalo Trace, Original BottlingSingle Oak Project(Cask 165)",,,45.00%,375,80 €December 2018
"Blanton's, Original BottlingGold Edition b.2015(Cask 69)",,,51.50%,700,118 €January 2019
"Weller, Original Bottling",12,,45.00%,750,158 €June 2019
"Blanton's, Original BottlingSingle Barrel b.1990(Cask 594)",,,46.50%,750,446 €April 2019
"Elmer T. Lee, Original BottlingSingle Barrel",,,45.00%,750,198 €June 2019
"Blanton's, Original BottlingSingle Barrel b.2016",24,1992,46.50%,750,56 €February 2018
"Blanton's, Original BottlingSpecial Reserve b.2018(Cask 1580)",,,40.00%,700,98 €February 2019
"Eagle Rare, Original BottlingAnniversary Bottling(Cask 25)",13,,45.00%,750,275 €January 2019
"Blanton's, Original BottlingLimited Edition b.2010(Cask 164)",,,52.50%,700,304 €September 2016
"Sazerac, Original BottlingSpring 2001 b.2001",18,,45.00%,750,862 €September 2018
"Blanton's, Original BottlingSingle Barrel b.2015(Cask 597)",,,46.50%,700,81 €November 2017
"George T. Stagg, Original Bottling2018 Release b.2018",,,62.45%,750,340 €June 2019
"Eagle Rare, Original BottlingFall 2009 b.2009",17,,45.00%,750,390 €May 2016
"Buffalo Trace, Original BottlingSingle Oak Project(Cask 166)",,,45.00%,375,95 €February 2019
"Blanton's, Original BottlingGold Edition b.2018(Cask 1919)",,,51.50%,700,125 €June 2019
"Blanton's, Original BottlingSpecial Reserve b.2017(Cask 272)",,,40.00%,700,99 €September 2018
"Blanton's, Original BottlingSingle Barrel Gift Box b.1997(Cask 246)",,,46.50%,750,74 €June 2019
"Blanton's, Original BottlingGold Edition b.2015(Cask 115)",,,51.50%,700,149 €April 2019
"Old Charter, Original Bottling",10,,43.00%,750,57 €May 2019
"Buffalo Trace, Original BottlingSingle Oak Project(Cask 9)",,,45.00%,375,87 €August 2017
"Ancient Age, Original Bottling",10,,43.00%,750,224 €November 2018
"Eagle Rare, Original Bottling",10,,45.00%,750,64 €March 2019
"W.L. Weller, Original Bottling",,,64.95%,750,1996 €December 2017
"Old Taylor, Original Bottling",6,,43.00%,1000,142 €July 2017
"Blanton's, Original BottlingGold Edition b.2018(Cask 517)",,,51.50%,700,108 €April 2019
"Old Taylor, Original Bottling",,,40.00%,750,199 €March 2019
"Blanton's, Original BottlingBarrell Bourbon b.2005(Cask 73)",,,65.80%,750,175 €February 2019
"Blanton's, Original BottlingSingle Barrel b.2015(Cask 573)",,,46.50%,700,58 €February 2017
"Blanton's, Original BottlingSingle Barrel b.2015(Cask 621 )",,,40.00%,700,68 €July 2017
"Ancient Age, Original Bottling86 Proof",,,43.00%,1750,205 €August 2018
"Blanton's, Original BottlingStraight from the Cask b.2016(Cask 222)",,,63.35%,700,112 €December 2017
"Blanton's, Original BottlingSingle Barrel b.1991(Cask 27)",,,46.50%,750,131 €March 2018
"Blanton's, Original BottlingGold Edition b.2018(Cask 508)",,,51.50%,700,99 €January 2019
"Blanton's, Original BottlingGold Edition b.2018(Cask 1516)",,,51.50%,700,126 €June 2019
"George T. Stagg, Original Bottling2011 Release b.2011",,,71.30%,750,775 €February 2018
"J.W. Dant, Original BottlingSpecial Reserve",4,,40.00%,750,172 €September 2018
"W.L. Weller, Original BottlingFall 2002 b.2002",19,1983,45.00%,750,1749 €April 2015
"Buffalo Trace, Original Bottling",,,45.00%,750,32 €May 2019
