age,vintage,bottled,avp,size,price,name,bottling,bottler,loc/type
37.0,1940.0,1977.0,40.00%,750,3475.4100000000003,Macallan,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
37.0,1940.0,1977.0,40.00%,750,3475.4100000000003,Macallan,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
50.0,1965.0,2015.0,62.30%,700,24020.4,Karuizawa Single Sherry Cask,"Original Bottling, Japan Single Malt",Original Bottling, Japan Single Malt
52.0,1946.0,1998.0,40.00%,700,11388.6,Macallan Select Reserve,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
44.0,1964.0,2008.0,42.40%,700,13569.750000000002,Bowmore Gold Bowmore,"Original Bottling, Islay Single Malt",Original Bottling, Islay Single Malt
12.0,1967.0,1979.0,54.20%,757,11647.230000000001,Largiemeanoch,"The Whisky Connoisseur, Islay Single Malt",The Whisky Connoisseur, Islay Single Malt
21.0,1965.0,1986.0,43.00%,750,11054.490000000002,Clynelish,"R. W. Duthie & Co., Highlands Single Malt",R. W. Duthie & Co., Highlands Single Malt
35.0,1980.0,2015.0,60.10%,700,8913.300000000001,Karuizawa Harbour City,"Original Bottling, Japan Single Malt",Original Bottling, Japan Single Malt
44.0,1968.0,2012.0,63.60%,700,9598.17,Karuizawa Whisky Live Taipei 2012,"Original Bottling, Japan Single Malt",Original Bottling, Japan Single Malt
21.0,1989.0,2010.0,55.20%,700,9895.650000000001,Macallan Fine and Rare,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
19.0,1964.0,1983.0,46.00%,750,8444.880000000001,Longmorn,"R. W. Duthie & Co., Speyside Single Malt",R. W. Duthie & Co., Speyside Single Malt
38.0,1957.0,1995.0,40.10%,700,6699.960000000001,Bowmore,"Original Bottling, Islay Single Malt",Original Bottling, Islay Single Malt
30.0,1972.0,2002.0,50.80%,750,6133.860000000001,Brora The Old Malt Cask,"Douglas Laing, Highlands Single Malt",Douglas Laing, Highlands Single Malt
30.0,1950.0,1980.0,43.00%,750,6539.01,Macallan (Rinaldi),"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
43.0,1973.0,2016.0,43.20%,700,6206.01,Bowmore,"Original Bottling, Islay Single Malt",Original Bottling, Islay Single Malt
24.0,1985.0,2009.0,58.20%,700,3030.3,Hanyu Nine of Diamonds (Ichiro´s Malt Card),"Original Bottling, Japan Single Malt",Original Bottling, Japan Single Malt
29.0,1972.0,2001.0,48.40%,750,3302.2500000000005,Ardbeg The Old Malt Cask (Ardbeggeddon),"Douglas Laing, Islay Single Malt",Douglas Laing, Islay Single Malt
70.0,1940.0,2010.0,45.90%,700,24346.74,Glenlivet Generations (2nd Edition),"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
50.0,1963.0,2013.0,55.60%,700,16600.050000000003,Tamdhu,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
30.0,1964.0,1994.0,50.00%,700,8523.69,Bowmore Black Bowmore (2nd Edition),"Original Bottling, Islay Single Malt",Original Bottling, Islay Single Malt
50.0,1965.0,2015.0,62.30%,700,21193.230000000003,Karuizawa Single Bourbon Cask,"Original Bottling, Japan Single Malt",Original Bottling, Japan Single Malt
41.0,1973.0,2014.0,45.20%,700,8388.27,Clynelish Single Cask (Wealth Solutions),"Original Bottling, Highlands Single Malt",Original Bottling, Highlands Single Malt
39.0,1965.0,2004.0,42.10%,700,9497.160000000002,Ardbeg,"Original Bottling, Islay Single Malt",Original Bottling, Islay Single Malt
58.0,1953.0,2011.0,47.20%,700,5758.68,Glenfarclas Single Cask,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
25.0,1957.0,1982.0,43.00%,750,5405.700000000001,Macallan Anniversary Malt (Rinaldi),"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
40.0,1960.0,2000.0,42.40%,700,4289.04,Laphroaig,"Original Bottling, Islay Single Malt",Original Bottling, Islay Single Malt
27.0,1981.0,2008.0,54.70%,700,4067.0400000000004,Port Ellen Feis Ile 2008,"Original Bottling, Islay Single Malt",Original Bottling, Islay Single Malt
11.0,1974.0,1985.0,60.80%,750,4089.2400000000002,Longmorn Cask Strength (Sherrywood),"Samaroli, Speyside Single Malt",Samaroli, Speyside Single Malt
,1954.0,,46.30%,700,3947.1600000000003,Glenfarclas Family Cask (Autumn 2013),"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
,1965.0,,50.00%,750,2844.9300000000003,Bowmore Sherry Cask,"Original Bottling, Islay Single Malt",Original Bottling, Islay Single Malt
,1955.0,,46.00%,750,5177.040000000001,Macallan,"Campbell, Hope & King, Speyside Single Malt",Campbell, Hope & King
67.0,1949.0,2016.0,45.20%,700,6197.13,Glen Grant,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
7.0,1973.0,1980.0,53.00%,750,4979.46,Longrow,"Samaroli, Campbeltown Single Malt",Samaroli, Campbeltown Single Malt
32.0,1938.0,1970.0,40.00%,750,4854.030000000001,Macallan (Pinerolo),"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
8.0,1952.0,1960.0,49.14%,757,4703.070000000001,Bunnahabhain,"Highland Distilleries Co., Islay Single Malt",Highland Distilleries Co., Islay Single Malt
44.0,1969.0,2013.0,42.90%,750,4565.43,Glenrothes Extraordinary Single Cask (Second Release),"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
33.0,1937.0,1970.0,43.00%,750,4703.070000000001,Macallan,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
,1957.0,,45.71%,750,4430.01,Macallan,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
30.0,1939.0,1969.0,43.00%,750,3862.8,Macallan,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
23.0,1974.0,1997.0,55.60%,700,2478.63,Ardbeg Provenance (1st Release),"Original Bottling, Islay Single Malt",Original Bottling, Islay Single Malt
,1964.0,,42.86%,757,2498.61,Bowmore Bicentenary,"Original Bottling, Islay Single Malt",Original Bottling, Islay Single Malt
,1960.0,,45.71%,750,4000.4400000000005,Macallan,"Campbell, Hope & King, Speyside Single Malt",Campbell, Hope & King
27.0,1984.0,2011.0,57.70%,700,3529.8,Karuizawa Single Cask,"Original Bottling, Japan Single Malt",Original Bottling, Japan Single Malt
27.0,1980.0,2007.0,57.40%,700,2807.19,Laphroaig,"Original Bottling, Islay Single Malt",Original Bottling, Islay Single Malt
