18,1995,2013,43.00%,700 ml,NA,NA,266 €,Macallan,"Original Bottling, Speyside Single Malt"
18,1996,2014,43.00%,700 ml,NA,NA,262 €,Macallan,"Original Bottling, Speyside Single Malt"
18,NA,2016,43.00%,700 ml,NA,NA,256 €,Macallan 2016 Release,"Original Bottling, Speyside Single Malt"
18,NA,2017,43.00%,700 ml,NA,NA,275 €,Macallan 2017 Release,"Original Bottling, Speyside Single Malt"
NA,NA,2003,41.70%,700 ml,NA,NA,300 €,Macallan 1841 Replica,"Original Bottling, Speyside Single Malt"
NA,NA,2002,42.70%,700 ml,NA,17000,363 €,Macallan 1861 Replica,"Original Bottling, Speyside Single Malt"
NA,NA,2002,42.70%,750 ml,NA,17000,449 €,Macallan 1861 Replica,"Original Bottling, Speyside Single Malt"
NA,NA,2003,40.60%,700 ml,NA,NA,264 €,Macallan 1876 Replica,"Original Bottling, Speyside Single Malt"
26,1966,1992,43.00%,50 ml,NA,NA,160 €,Macallan,"Original Bottling, Speyside Single Malt"
18,1971,1989,43.00%,50 ml,NA,NA,159 €,Macallan,"Original Bottling, Speyside Single Malt"
25,1972,1997,43.00%,700 ml,NA,NA,493 €,Macallan Finest Collection,"Hart Brothers, Speyside Single Malt"
20,1975,1995,46.00%,700 ml,8898,NA,296 €,Macallan First Cask,"Direct Wines, Speyside Single Malt"
19,1975,1994,43.00%,700 ml,8347,340,207 €,Macallan,"The Ultimate, Speyside Single Malt"
15,1982,1997,58.30%,700 ml,NA,NA,399 €,Macallan Private Cask,"Original Bottling, Speyside Single Malt"
17,1987,2004,46.00%,700 ml,NA,630,249 €,Macallan,"Cadenhead, Speyside Single Malt"
18,1988,2006,57.10%,700 ml,NA,300,333 €,Macallan Sestante Collection (Italian Import),"Silver Seal, Speyside Single Malt"
11,1988,1999,57.80%,700 ml,NA,NA,464 €,Macallan 24.58,"Scotch Malt Whisky Society, Speyside Single Malt"
14,1989,2003,51.40%,700 ml,NA,144,262 €,Macallan Malts of Distinction,"Morrison Fairlie Distillery Co., Speyside Single Malt"
13,1989,2002,45.00%,700 ml,8275,426,507 €,Macallan Single Cask,"Samaroli, Speyside Single Malt"
NA,1989,NA,40.00%,700 ml,NA,NA,143 €,Macallan Whisky Galore,"Duncan Taylor, Speyside Single Malt"
8,1990,1998,40.00%,700 ml,NA,NA,94 €,Macallan Speymalt,"Gordon & MacPhail, Speyside Single Malt"
12,1990,2002,40.00%,700 ml,25981,96,314 €,Macallan Buccaneer,"Original Bottling, Speyside Single Malt"
12,1990,2002,46.00%,700 ml,NA,NA,79 €,Macallan Barrel Selection,"Wilson & Morgan, Speyside Single Malt"
12,1992,2004,40.00%,1000 ml,NA,NA,216 €,Macallan Elegancia,"Original Bottling, Speyside Single Malt"
21,1997,2017,46.00%,700 ml,NA,NA,213 €,Macallan Life is a Circus,"High Spirits' Collection, Speyside Single Malt"
