Index,age,vintage,bottled,avp,size,price,name,bottling,bottler,loc/type,country,name_1,name_2
319,17,1978,1995,57.90%,50,16.65,Aberfeldy,"Cadenhead, Highlands Single Malt",Cadenhead,Highlands,UK,Aberfeldy,Aberfeldy
320,17,1980,1997,62.00%,700,299.7,Aberfeldy Flora & Fauna,"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Aberfeldy,Aberfeldy Flora
321,14,1999,2013,58.40%,700,193.14,Aberfeldy Single Cask (Festival Bottling),"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Aberfeldy,Aberfeldy Single
322,14,2001,2015,51.60%,700,142.08,Aberfeldy Hand Filled,"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Aberfeldy,Aberfeldy Hand
346,24,1975,1999,55.40%,700,311.91,Aberfeldy,"The Bottlers, Highlands Single Malt",The Bottlers,Highlands,UK,Aberfeldy,Aberfeldy
347,16,1998,2014,55.20%,700,144.3,Aberfeldy Hand Filled,"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Aberfeldy,Aberfeldy Hand
659,,1969,,40.00%,50,9.99,Aberfeldy,"Gordon & MacPhail, Highlands Single Malt",Gordon & MacPhail,Highlands,UK,Aberfeldy,Aberfeldy
660,19,1993,2012,46.00%,700,68.82,Aberfeldy First Cask,"Direct Wines, Highlands Single Malt",Direct Wines,Highlands,UK,Aberfeldy,Aberfeldy First
1381,15,1982,1997,65.30%,700,152.07,Aberfeldy 60.19,"Scotch Malt Whisky Society, Highlands Single Malt",Scotch Malt Whisky Society,Highlands,UK,Aberfeldy,Aberfeldy 60.19
1848,,1966,,40.00%,50,22.2,Aberfeldy,"Gordon & MacPhail, Highlands Single Malt",Gordon & MacPhail,Highlands,UK,Aberfeldy,Aberfeldy
1849,15,1969,1984,40.00%,750,400.71,Aberfeldy Connoisseurs Choice,"Gordon & MacPhail, Highlands Single Malt",Gordon & MacPhail,Highlands,UK,Aberfeldy,Aberfeldy Connoisseurs
1850,,1974,,40.00%,750,197.58,Aberfeldy Speymalt (Meregalli Import),"Speymalt Whisky Distributors Ltd., Highlands Single Malt",Speymalt Whisky Distributors Ltd.,Highlands,UK,Aberfeldy,Aberfeldy Speymalt
2974,17,1969,1986,40.00%,750,255.3,Aberfeldy Connoisseurs Choice,"Gordon & MacPhail, Highlands Single Malt",Gordon & MacPhail,Highlands,UK,Aberfeldy,Aberfeldy Connoisseurs
2975,19,1975,1994,56.40%,700,335.22,Aberfeldy 60.10,"Scotch Malt Whisky Society, Highlands Single Malt",Scotch Malt Whisky Society,Highlands,UK,Aberfeldy,Aberfeldy 60.10
2976,22,1978,2000,40.00%,700,129.87,Aberfeldy Connoisseurs Choice,"Gordon & MacPhail, Highlands Single Malt",Gordon & MacPhail,Highlands,UK,Aberfeldy,Aberfeldy Connoisseurs
2977,,1978,,43.00%,50,24.42,Aberfeldy,"Signatory Vintage, Highlands Single Malt",Signatory Vintage,Highlands,UK,Aberfeldy,Aberfeldy
2978,18,1991,2009,59.60%,700,290.82,Aberfeldy Single Cask,"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Aberfeldy,Aberfeldy Single
4515,20,1978,1998,40.00%,700,102.12,Aberfeldy Connoisseurs Choice,"Gordon & MacPhail, Highlands Single Malt",Gordon & MacPhail,Highlands,UK,Aberfeldy,Aberfeldy Connoisseurs
4803,10,1989,1999,60.60%,700,193.14,Aberfeldy 60.21,"Scotch Malt Whisky Society, Highlands Single Malt",Scotch Malt Whisky Society,Highlands,UK,Aberfeldy,Aberfeldy 60.21
5256,17,1978,1995,57.90%,700,174.27,Aberfeldy,"Cadenhead, Highlands Single Malt",Cadenhead,Highlands,UK,Aberfeldy,Aberfeldy
5257,15,1988,2003,43.00%,700,76.59,Aberfeldy Connoisseurs Choice,"Gordon & MacPhail, Highlands Single Malt",Gordon & MacPhail,Highlands,UK,Aberfeldy,Aberfeldy Connoisseurs
5258,18,1989,2007,43.00%,700,74.37,Aberfeldy Connoisseurs Choice,"Gordon & MacPhail, Highlands Single Malt",Gordon & MacPhail,Highlands,UK,Aberfeldy,Aberfeldy Connoisseurs
5656,19,1997,2016,55.30%,700,78.81,Aberfeldy Small Batch,"Cadenhead, Highlands Single Malt",Cadenhead,Highlands,UK,Aberfeldy,Aberfeldy Small
6241,15,1978,1993,40.00%,750,142.08,Aberfeldy (US Import),"Whyte & Whyte Importers Ltd., Highlands Single Malt",Whyte & Whyte Importers Ltd.,Highlands,UK,Aberfeldy,Aberfeldy (US
6444,17,1997,2014,46.00%,700,84.36,Aberfeldy,"Cadenhead, Highlands Single Malt",Cadenhead,Highlands,UK,Aberfeldy,Aberfeldy
323,17,1999,2016,52.80%,700,248.64,Aberlour Cask Strength (Distillery Exclusive),"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Aberlour,Aberlour Cask
661,8,1965,1973,50.00%,750,271.95,Aberlour,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Aberlour,Aberlour
662,18,1998,2016,59.70%,500,145.41,Aberlour Single Cask,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Aberlour,Aberlour Single
663,15,2000,2015,46.00%,700,59.94,Aberlour,"Malts of Scotland, Speyside Single Malt",Malts of Scotland,Speyside,UK,Aberlour,Aberlour
762,19,1970,1989,46.00%,700,284.16,Aberlour,"Signatory Vintage, Speyside Single Malt",Signatory Vintage,Speyside,UK,Aberlour,Aberlour
763,19,1974,1993,46.00%,700,180.93,Aberlour First Cask,"Direct Wines, Speyside Single Malt",Direct Wines,Speyside,UK,Aberlour,Aberlour First
764,21,1974,1995,55.50%,700,333,Aberlour,"Signatory Vintage, Speyside Single Malt",Signatory Vintage,Speyside,UK,Aberlour,Aberlour
765,23,1989,2012,54.90%,700,128.76,Aberlour,"Cadenhead, Speyside Single Malt",Cadenhead,Speyside,UK,Aberlour,Aberlour
766,25,1990,2015,51.40%,700,136.53,Aberlour Small Batch,"Cadenhead, Speyside Single Malt",Cadenhead,Speyside,UK,Aberlour,Aberlour Small
767,25,1990,2015,51.40%,700,136.53,Aberlour Small Batch,"Cadenhead, Speyside Single Malt",Cadenhead,Speyside,UK,Aberlour,Aberlour Small
1382,8,1964,1972,50.00%,750,337.44,Aberlour Glenlivet,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Aberlour,Aberlour Glenlivet
1383,18,1989,2007,52.80%,750,138.75,Aberlour Scott´s Selection (US Import),"Robert Scott & Co, Speyside Single Malt",Robert Scott & Co,Speyside,UK,Aberlour,Aberlour Scott´s
1384,10,1989,1999,40.00%,700,74.37,Aberlour Scottish Millennium Celebrations,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Aberlour,Aberlour Scottish
1851,23,1963,1986,46.00%,750,438.45,Aberlour,"Moncreiffe & Co., Speyside Single Malt",Moncreiffe & Co.,Speyside,UK,Aberlour,Aberlour
