Results,Age,Vintage,Vol.,ml,Latest Price,Region
"Glen Scotia, Acorn b.2010One of 165 Bottles",33.0,1977.0,54.60%,700,265 €September 2017,Campbeltown
"Glen Scotia, Adelphi b.2005(Cask 1071)",14.0,1991.0,61.60%,700,87 €November 2016,Campbeltown
"Glen Scotia, Braunstein (150th Anniversary ) b.2010(Cask 15)",18.0,1992.0,60.20%,700,102 €March 2019,Campbeltown
"Glen Scotia, Cadenhead b.1990",13.0,1977.0,58.80%,750,719 €December 2018,Campbeltown
"Glen Scotia, CadenheadAuthentic Collection b.2010One of 276 Bottles",11.0,1999.0,58.00%,700,91 €March 2017,Campbeltown
"Glen Scotia, CadenheadAuthentic Collection b.2005One of 198 Bottles",14.0,1991.0,57.70%,700,210 €March 2019,Campbeltown
"Glen Scotia, CadenheadSherry Cask b.2016One of 612 Bottles",16.0,2000.0,57.80%,700,82 €February 2019,Campbeltown
"Glen Scotia, CadenheadAuthentic Collection b.2010One of 260 Bottles",18.0,1992.0,52.10%,700,81 €May 2015,Campbeltown
"Glen Scotia, CadenheadWarehouse Tasting b.2017",17.0,2000.0,56.40%,700,115 €January 2019,Campbeltown
"Glen Scotia, Cadenhead b.2008One of 310 Bottles",9.0,1999.0,59.50%,700,56 €July 2012,Campbeltown
"Glen Scotia, CadenheadAuthentic Collection b.2006One of 210 Bottles",15.0,1991.0,57.80%,700,137 €June 2015,Campbeltown
"Glen Scotia, CadenheadSherry Cask b.2014One of 588 Bottles",15.0,1999.0,58.70%,700,86 €December 2018,Campbeltown
"Glen Scotia, CadenheadSherry Cask b.2015One of 252 Bottles",15.0,2000.0,68.00%,700,64 €May 2017,Campbeltown
"Glen Scotia, CadenheadBond Reserve b.2008One of 310 Bottles",9.0,1999.0,59.50%,700,110 €January 2016,Campbeltown
"Glen Scotia, CadenheadAuthentic Collection b.2017One of 186 Bottles",25.0,1992.0,44.00%,700,95 €February 2019,Campbeltown
"Glen Scotia, CadenheadAuthentic Collection b.2018One of 228 Bottles",26.0,1992.0,47.30%,700,160 €June 2019,Campbeltown
"Glen Scotia, CadenheadDuthies",17.0,,46.00%,700,53 €March 2014,Campbeltown
"Glen Scotia, Cadenhead b.2017One of 618 Bottles",18.0,1999.0,56.90%,700,108 €April 2019,Campbeltown
"Glen Scotia, Cadenhead (Shop Edinburgh) b.2018One of 222 Bottles",26.0,1992.0,49.50%,700,160 €June 2019,Campbeltown
"Glen Scotia, Creative Whisky CompanyExclusive Casks b.2009(Cask 1247)",18.0,1991.0,52.60%,700,75 €January 2018,Campbeltown
"Glen Scotia, Creative Whisky CompanyExclusive Malts b.2007One of 241 Bottles (Cask 424)",15.0,1992.0,53.40%,700,98 €August 2018,Campbeltown
"Glen Scotia, Dewar RattrayCask Collection b.2011One of 359 Bottles",19.0,1992.0,59.60%,700,135 €March 2019,Campbeltown
"Glen Scotia, Dewar RattrayCask Collection b.2010One of 195 Bottles (Cask 985)",33.0,1977.0,57.00%,700,659 €January 2018,Campbeltown
"Glen Scotia, Dewar RattrayCask Collection b.2009One of 335 Bottles",17.0,1992.0,59.40%,700,145 €February 2019,Campbeltown
"Glen Scotia, Douglas LaingThe Old Malt Cask b.1999One of 94 Bottles",30.0,1969.0,50.00%,700,727 €July 2017,Campbeltown
"Glen Scotia, Douglas LaingThe Old Malt Cask b.2010One of 365 Bottles (Cask 7017)",18.0,1992.0,50.00%,700,80 €April 2018,Campbeltown
"Glen Scotia, Duncan TaylorDimensions Strong Box b.2012One of 66 Bottles (Cask 710394)",21.0,1991.0,52.80%,700,118 €October 2018,Campbeltown
