Rainfall - (MM), Year, Statistics, Country, ISO3
26.7066,1901, Jan Average, Canada, CAN
23.1429,1901, Feb Average, Canada, CAN
27.3765,1901, Mar Average, Canada, CAN
25.0395,1901, Apr Average, Canada, CAN
32.5531,1901, May Average, Canada, CAN
49.6516,1901, Jun Average, Canada, CAN
53.7629,1901, Jul Average, Canada, CAN
46.4377,1901, Aug Average, Canada, CAN
47.1592,1901, Sep Average, Canada, CAN
38.2776,1901, Oct Average, Canada, CAN
39.8858,1901, Nov Average, Canada, CAN
31.0667,1901, Dec Average, Canada, CAN
24.464,1902, Jan Average, Canada, CAN
27.3406,1902, Feb Average, Canada, CAN
28.8618,1902, Mar Average, Canada, CAN
23.3909,1902, Apr Average, Canada, CAN
40.6293,1902, May Average, Canada, CAN
52.7403,1902, Jun Average, Canada, CAN
56.2151,1902, Jul Average, Canada, CAN
59.8804,1902, Aug Average, Canada, CAN
45.7307,1902, Sep Average, Canada, CAN
34.3857,1902, Oct Average, Canada, CAN
35.7023,1902, Nov Average, Canada, CAN
31.4951,1902, Dec Average, Canada, CAN
27.2359,1903, Jan Average, Canada, CAN
21.9856,1903, Feb Average, Canada, CAN
26.7612,1903, Mar Average, Canada, CAN
25.4332,1903, Apr Average, Canada, CAN
34.887,1903, May Average, Canada, CAN
42.8789,1903, Jun Average, Canada, CAN
59.1808,1903, Jul Average, Canada, CAN
58.0672,1903, Aug Average, Canada, CAN
50.353,1903, Sep Average, Canada, CAN
37.3389,1903, Oct Average, Canada, CAN
34.4299,1903, Nov Average, Canada, CAN
28.2254,1903, Dec Average, Canada, CAN
27.0459,1904, Jan Average, Canada, CAN
26.5707,1904, Feb Average, Canada, CAN
29.1986,1904, Mar Average, Canada, CAN
20.9551,1904, Apr Average, Canada, CAN
30.4278,1904, May Average, Canada, CAN
48.9781,1904, Jun Average, Canada, CAN
57.0781,1904, Jul Average, Canada, CAN
48.9697,1904, Aug Average, Canada, CAN
50.8289,1904, Sep Average, Canada, CAN
37.099,1904, Oct Average, Canada, CAN
33.6222,1904, Nov Average, Canada, CAN
29.1249,1904, Dec Average, Canada, CAN
24.5593,1905, Jan Average, Canada, CAN
22.0704,1905, Feb Average, Canada, CAN
22.9898,1905, Mar Average, Canada, CAN
21.0626,1905, Apr Average, Canada, CAN
36.746,1905, May Average, Canada, CAN
49.3712,1905, Jun Average, Canada, CAN
52.8548,1905, Jul Average, Canada, CAN
58.3288,1905, Aug Average, Canada, CAN
50.917,1905, Sep Average, Canada, CAN
38.494,1905, Oct Average, Canada, CAN
36.3562,1905, Nov Average, Canada, CAN
30.0227,1905, Dec Average, Canada, CAN
27.8011,1906, Jan Average, Canada, CAN
