0,1,2,3,4,5,6,7,8,9
37,1940,1977,40.00%,750 ml,NA,NA,3131 â‚¬,Macallan,"Gordon & MacPhail, Speyside Single Malt"
37,1940,1977,40.00%,750 ml,NA,NA,3131 €,Macallan,"Gordon & MacPhail, Speyside Single Malt"
50,1965,2015,62.30%,700 ml,2372,199,21640 €,Karuizawa Single Sherry Cask,"Original Bottling, Japan Single Malt"
52,1946,1998,40.00%,700 ml,NA,NA,10260 €,Macallan Select Reserve,"Original Bottling, Speyside Single Malt"
40,NA,2016,45.00%,750 ml,NA,500,15064 €,Macallan 2016 Release,"Original Bottling, Speyside Single Malt"
44,1964,2008,42.40%,700 ml,NA,701,12225 €,Bowmore Gold Bowmore,"Original Bottling, Islay Single Malt"
12,1967,1979,54.20%,757 ml,NA,NA,10493 €,Largiemeanoch,"The Whisky Connoisseur, Islay Single Malt"
21,1965,1986,43.00%,750 ml,NA,NA,9959 €,Clynelish,"R. W. Duthie & Co., Highlands Single Malt"
35,1980,2015,60.10%,700 ml,4376,212,8030 €,Karuizawa Harbour City,"Original Bottling, Japan Single Malt"
44,1968,2012,63.60%,700 ml,NA,168,8647 €,Karuizawa Whisky Live Taipei 2012,"Original Bottling, Japan Single Malt"
21,1989,2010,55.20%,700 ml,3247,NA,8915 €,Macallan Fine and Rare,"Original Bottling, Speyside Single Malt"
19,1964,1983,46.00%,750 ml,NA,NA,7608 €,Longmorn,"R. W. Duthie & Co., Speyside Single Malt"
38,1957,1995,40.10%,700 ml,216-220,861,6036 €,Bowmore,"Original Bottling, Islay Single Malt"
30,1972,2002,50.80%,750 ml,983,201,5526 €,Brora The Old Malt Cask,"Douglas Laing, Highlands Single Malt"
30,1950,1980,43.00%,750 ml,NA,NA,5891 €,Macallan (Rinaldi),"Original Bottling, Speyside Single Malt"
NA,NA,1981,43.00%,700 ml,NA,NA,3479 €,Macallan Royal Marriage 1981,"Original Bottling, Speyside Single Malt"
43,1973,2016,43.20%,700 ml,3883-3888,NA,5591 €,Bowmore,"Original Bottling, Islay Single Malt"
24,1985,2009,58.20%,700 ml,9421,248,2730 €,Hanyu Nine of Diamonds (Ichiro´s Malt Card),"Original Bottling, Japan Single Malt"
29,1972,2001,48.40%,750 ml,NA,227,2975 €,Ardbeg The Old Malt Cask (Ardbeggeddon),"Douglas Laing, Islay Single Malt"
50,NA,NA,40.50%,700 ml,NA,NA,4557 €,Springbank Millennium Collection,"Original Bottling, Campbeltown Single Malt"
70,1940,2010,45.90%,700 ml,339,100,21934 €,Glenlivet Generations (2nd Edition),"Gordon & MacPhail, Speyside Single Malt"
50,1963,2013,55.60%,700 ml,4678,100,14955 €,Tamdhu,"Original Bottling, Speyside Single Malt"
30,1964,1994,50.00%,700 ml,NA,2000,7679 €,Bowmore Black Bowmore (2nd Edition),"Original Bottling, Islay Single Malt"
50,1965,2015,62.30%,700 ml,8636,199,19093 €,Karuizawa Single Bourbon Cask,"Original Bottling, Japan Single Malt"
41,1973,2014,45.20%,700 ml,16802,144,7557 €,Clynelish Single Cask (Wealth Solutions),"Original Bottling, Highlands Single Malt"
39,1965,2004,42.10%,700 ml,3678,261,8556 €,Ardbeg,"Original Bottling, Islay Single Malt"
58,1953,2011,47.20%,700 ml,1674,400,5188 €,Glenfarclas Single Cask,"Original Bottling, Speyside Single Malt"
25,1957,1982,43.00%,750 ml,NA,NA,4870 €,Macallan Anniversary Malt (Rinaldi),"Original Bottling, Speyside Single Malt"
40,1960,2000,42.40%,700 ml,NA,3300,3864 €,Laphroaig,"Original Bottling, Islay Single Malt"
27,1981,2008,54.70%,700 ml,1301,220,3664 €,Port Ellen Feis Ile 2008,"Original Bottling, Islay Single Malt"
11,1974,1985,60.80%,750 ml,NA,600,3684 €,Longmorn Cask Strength (Sherrywood),"Samaroli, Speyside Single Malt"
NA,1954,NA,46.30%,700 ml,1253,424,3556 €,Glenfarclas Family Cask (Autumn 2013),"Original Bottling, Speyside Single Malt"
30,NA,NA,43.00%,700 ml,NA,NA,3483 €,Macallan Sherry Oak (Blue Label),"Original Bottling, Speyside Single Malt"
NA,1965,NA,50.00%,750 ml,NA,NA,2563 €,Bowmore Sherry Cask,"Original Bottling, Islay Single Malt"
NA,1955,NA,46.00%,750 ml,NA,NA,4664 €,Macallan,"Campbell, Hope & King, Speyside Single Malt"
25,NA,NA,43.00%,750 ml,NA,NA,4049 €,Macallan,"Original Bottling, Speyside Single Malt"
67,1949,2016,45.20%,700 ml,187,177,5583 €,Glen Grant,"Gordon & MacPhail, Speyside Single Malt"
NA,NA,1996,43.00%,700 ml,1580,5000,2576 €,Macallan Private Eye,"Original Bottling, Speyside Single Malt"
7,1973,1980,53.00%,750 ml,NA,NA,4486 €,Longrow,"Samaroli, Campbeltown Single Malt"
