40,NA,NA,40.00%,750 ml,NA,NA,855 €,Linkwood,"Original Bottling, Speyside Single Malt"
NA,NA,NA,54.10%,700 ml,NA,NA,98 €,Kilkerran Work in Progress (7th Edition Bourbon Wood),"Original Bottling, Campbeltown Single Malt"
11,1970,1981,43.00%,750 ml,NA,NA,118 €,Knockando,"Original Bottling, Speyside Single Malt"
12,1974,1986,43.00%,1500 ml,NA,NA,113 €,Knockando,"Original Bottling, Speyside Single Malt"
15,1978,1993,40.00%,700 ml,NA,NA,103 €,Knockando,"Original Bottling, Speyside Single Malt"
15,1979,1994,40.00%,1000 ml,NA,NA,81 €,Knockando,"Original Bottling, Speyside Single Malt"
15,1980,1995,40.00%,700 ml,NA,NA,88 €,Knockando,"Original Bottling, Speyside Single Malt"
19,1980,1999,54.10%,700 ml,NA,NA,209 €,Knockando 101.3,"Scotch Malt Whisky Society, Speyside Single Malt"
12,NA,NA,40.00%,750 ml,NA,NA,70 €,Knockdhu (1980s),"Original Bottling, Speyside Single Malt"
27,1973,2000,50.40%,700 ml,3200,3000,783 €,Ladyburn,"Original Bottling, Lowlands Single Malt"
12,NA,2004,58.20%,700 ml,NA,NA,156 €,Lagavulin Special Releases (2004 Release),"Original Bottling, Islay Single Malt"
12,NA,2006,57.10%,200 ml,NA,NA,67 €,Lagavulin 2006 Release,"Original Bottling, Islay Single Malt"
12,NA,2007,57.10%,200 ml,NA,NA,60 €,Lagavulin 2007 Release,"Original Bottling, Islay Single Malt"
16,NA,NA,43.00%,200 ml,NA,NA,37 €,Lagavulin,"Original Bottling, Islay Single Malt"
30,1976,2006,52.60%,700 ml,NA,2340,1696 €,Lagavulin Special Releases (2006 Release),"Original Bottling, Islay Single Malt"
15,1980,1995,63.30%,700 ml,NA,NA,4010 €,Lagavulin 111.1,"Scotch Malt Whisky Society, Islay Single Malt"
13,1984,1997,46.00%,700 ml,mm4493,NA,167 €,Lagavulin,"Murray McDavid, Islay Single Malt"
21,1985,2007,56.50%,750 ml,NA,6642,1726 €,Lagavulin 2007 Release (US Import),"Original Bottling, Islay Single Malt"
14,1993,2007,56.50%,700 ml,4893,708,479 €,Lagavulin Single Cask (Feis Ile 2007),"Original Bottling, Islay Single Malt"
15,1997,2012,54.50%,700 ml,NA,NA,397 €,Lagavulin (Jazz Festival 2012),"Original Bottling, Islay Single Malt"
16,1999,2015,43.00%,700 ml,NA,NA,94 €,Lagavulin Distillers Edition,"Original Bottling, Islay Single Malt"
8,NA,NA,48.00%,700 ml,NA,NA,60 €,Lagavulin 200th Anniversary,"Original Bottling, Islay Single Malt"
NA,NA,2017,54.10%,700 ml,NA,7500,152 €,Lagavulin Distillery Exclusive,"Original Bottling, Islay Single Malt"
10,NA,NA,40.00%,700 ml,NA,NA,224 €,Laphroaig Henderson Retirement,"Original Bottling, Islay Single Malt"
10,NA,NA,40.00%,700 ml,NA,NA,81 €,Laphroaig Single Islay Malt,"Original Bottling, Islay Single Malt"
10,NA,NA,43.00%,333 ml,NA,NA,37 €,Laphroaig,"Original Bottling, Islay Single Malt"
10,NA,2014,58.00%,700 ml,6,NA,104 €,Laphroaig Cask Strength,"Original Bottling, Islay Single Malt"
10,NA,2015,56.30%,700 ml,7,NA,107 €,Laphroaig Cask Strength,"Original Bottling, Islay Single Malt"
15,1968,1983,40.00%,750 ml,NA,NA,1089 €,Laphroaig Connoisseurs Choice,"Gordon & MacPhail, Islay Single Malt"
25,1986,2011,55.90%,700 ml,NA,90,350 €,Laphroaig Old & Rare,"Douglas Laing, Islay Single Malt"
20,1995,2015,56.50%,700 ml,NA,205,176 €,Laphroaig 29.169,"Scotch Malt Whisky Society, Islay Single Malt"
14,2000,2014,61.70%,700 ml,NA,584,282 €,Laphroaig 29.158,"Scotch Malt Whisky Society, Islay Single Malt"
14,2001,2015,46.00%,700 ml,NA,317,105 €,Laphroaig,"Murray McDavid, Islay Single Malt"
25,NA,NA,40.00%,700 ml,NA,NA,290 €,Laphroaig,"Original Bottling, Islay Single Malt"
25,NA,2011,48.60%,700 ml,NA,NA,347 €,Laphroaig Cask Strength (2011 Release),"Original Bottling, Islay Single Malt"
NA,NA,NA,48.00%,700 ml,NA,NA,86 €,Laphroaig An Cuan Mòr,"Original Bottling, Islay Single Malt"
NA,NA,NA,50.50%,700 ml,NA,NA,125 €,Laphroaig Cairdeas Ileach (Feis Ile 2011),"Original Bottling, Islay Single Malt"
NA,NA,NA,40.00%,1000 ml,NA,NA,52 €,Laphroaig Four Oak,"Original Bottling, Islay Single Malt"
NA,NA,NA,48.00%,700 ml,NA,NA,84 €,Laphroaig Lore,"Original Bottling, Islay Single Malt"
NA,NA,NA,48.00%,1000 ml,NA,NA,85 €,Laphroaig PX Cask,"Original Bottling, Islay Single Malt"
NA,NA,NA,40.00%,1000 ml,NA,NA,54 €,Laphroaig QA Cask,"Original Bottling, Islay Single Malt"
20,NA,NA,52.20%,50 ml,NA,NA,86 €,Largiemeanoch,"The Whisky Connoisseur, Islay Single Malt"
20,NA,NA,53.00%,50 ml,NA,NA,102 €,Largiemeanoch (1980s),"The Whisky Connoisseur, Islay Single Malt"
10,2004,2014,46.00%,700 ml,NA,379,68 €,Ledaig The Un-Chillfiltered Collection,"Signatory Vintage, Islands Single Malt"
7,2005,2012,51.90%,700 ml,NA,NA,63 €,Ledaig,"Scotswhisky.de, Islands Single Malt"
NA,NA,NA,42.00%,700 ml,NA,NA,36 €,Ledaig Single Malt,"Original Bottling, Islands Single Malt"
12,NA,NA,43.00%,50 ml,NA,NA,9 €,Linkwood (1970s),"Original Bottling, Speyside Single Malt"
45,1938,1983,40.00%,750 ml,NA,NA,1771 €,Linkwood,"Sestante, Speyside Single Malt"
48,1939,1987,40.00%,750 ml,NA,NA,1558 €,Linkwood,"Original Bottling, Speyside Single Malt"
NA,1967,NA,40.00%,700 ml,NA,NA,319 €,Linkwood,"Gordon & MacPhail, Speyside Single Malt"
23,1974,1997,61.20%,750 ml,NA,NA,275 €,Linkwood Rare Malts,"Original Bottling, Speyside Single Malt"
21,1995,2016,43.00%,700 ml,NA,NA,77 €,Linkwood,"Signatory Vintage, Speyside Single Malt"
25,NA,NA,41.00%,700 ml,NA,NA,116 €,Linkwood,"Gordon & MacPhail, Speyside Single Malt"
17,NA,NA,40.00%,700 ml,NA,NA,430 €,Littlemill,"Original Bottling, Lowlands Single Malt"
20,1989,2009,55.10%,700 ml,NA,153,205 €,Littlemill Rhine Collection,"Feinkost Reifferscheid, Lowlands Single Malt"
23,1990,2013,51.10%,700 ml,NA,NA,228 €,Littlemill,"Liquid Sun, Lowlands Single Malt"
15,1990,2005,57.10%,700 ml,NA,NA,354 €,Littlemill 97.5,"Scotch Malt Whisky Society, Lowlands Single Malt"
NA,NA,NA,42.86%,750 ml,NA,NA,370 €,Littlemill Pure Malt (1970s),"Original Bottling, Lowlands Single Malt"
10,NA,NA,40.00%,700 ml,NA,NA,116 €,Loch Dhu Black Whisky,"Original Bottling, Speyside Single Malt"
10,2006,2016,50.30%,700 ml,0207,344,93 €,Loch Lomond Old Train Line,"Jack Wiebers Whisky World, Highlands Single Malt"
NA,NA,NA,52.40%,500 ml,1,191,73 €,Loch Lomond,"That Boutique-y Whisky Company, Highlands Single Malt"
10,NA,NA,40.00%,200 ml,NA,NA,65 €,Lochside Castle Collection Decanter (1980s),"Original Bottling, Highlands Single Malt"
21,1966,1987,40.00%,750 ml,NA,NA,478 €,Lochside Connoisseurs Choice,"Gordon & MacPhail, Highlands Single Malt"
21,1979,2000,50.00%,700 ml,NA,60,416 €,Lochside First Bottling,"Silver Seal, Highlands Single Malt"
45,1964,2009,47.70%,700 ml,5614,378,828 €,Longmorn Reserve,"Gordon & MacPhail, Speyside Single Malt"
46,1965,2011,51.80%,700 ml,370,NA,1081 €,Longmorn,"Gordon & MacPhail, Speyside Single Malt"
45,1966,2011,44.30%,700 ml,5063,283,938 €,Longmorn Reserve,"Gordon & MacPhail, Speyside Single Malt"
17,1996,2013,57.20%,700 ml,72319,600,130 €,Longmorn Cask Strength,"The Ultimate, Speyside Single Malt"
23,NA,NA,48.00%,700 ml,NA,NA,361 €,Longmorn,"Original Bottling, Speyside Single Malt"
25,NA,NA,56.00%,700 ml,NA,500,164 €,Longmorn B.R.H.S. Bi-Centenary (200th Anniversary),"Original Bottling, Speyside Single Malt"
10,1995,2005,46.00%,700 ml,NA,NA,62 €,Longrow,"Original Bottling, Campbeltown Single Malt"
NA,1973,NA,43.00%,50 ml,NA,NA,92 €,Longrow,"J & A Mitchell & Co, Campbeltown Single Malt"
